Table S11: Differential expression test results for amphid vs. phasmid sheath cells. ,,,,,
gene_id,symbol,q-value,amphid TPM,phasmid TPM,"moderated log2
(amphid / phasmid)"
WBGene00012381,Y2H9A.4,0.18051158702184,55.036,0.000,5.782
WBGene00013591,gcn-2,0.18051158702184,32.092,60.460,-0.869
WBGene00017989,nol-10,0.18051158702184,29.114,30.751,-0.030
WBGene00019326,K02F3.2,0.18051158702184,26.246,151.001,-2.470
WBGene00002008,hsp-4,0.181169782235428,609.186,328.399,0.887
WBGene00002071,ile-2,0.181169782235428,158.177,13.509,3.446
WBGene00012811,Y43F8A.5,0.181169782235428,156.560,49.494,1.633
WBGene00001391,far-7,0.181270909856649,103.543,119.492,-0.193
WBGene00001166,eftu-2,0.181370503441423,42.911,120.739,-1.459
WBGene00011643,slc-17.9,0.181370503441423,58.112,0.000,5.861
WBGene00016333,C32F10.8,0.181370503441423,120.637,34.165,1.778
WBGene00021469,Y39G10AR.11,0.182067068106101,56.724,91.344,-0.662
WBGene00018827,pst-2,0.182157911116279,77.942,155.327,-0.976
WBGene00006059,stc-1,0.183043384186494,250.388,603.943,-1.264
WBGene00011452,ugt-55,0.183161804522173,24.137,137.454,-2.451
WBGene00004282,rab-30,0.183834594975504,26.897,33.456,-0.262
WBGene00000793,crh-1,0.184453685831304,485.237,817.182,-0.749
WBGene00020184,uba-5,0.185226969427842,54.922,0.000,5.779
WBGene00020478,T13C2.2,0.185226969427842,1585.629,936.357,0.758
WBGene00002183,kat-1,0.186347291615418,35.606,127.731,-1.803
WBGene00004807,skr-1,0.186347291615418,161.141,231.000,-0.511
WBGene00000843,cup-2,0.187302903787312,56.286,0.000,5.815
WBGene00011529,T06D8.9,0.187302903787312,61.850,0.000,5.951
WBGene00021415,nsy-4,0.187302903787312,62.562,183.587,-1.530
WBGene00017904,lim-8,0.188852267493674,284.067,365.896,-0.360
WBGene00001229,eif-3.F,0.189845721973593,65.701,0.000,6.038
WBGene00013735,Y111B2A.12,0.189845721973593,69.483,0.000,6.119
WBGene00020346,T08B2.5,0.189845721973593,152.367,181.324,-0.242
WBGene00004747,sdc-3,0.190157177300556,29.185,47.066,-0.641
WBGene00012393,Y6B3B.9,0.190157177300556,83.163,48.080,0.761
WBGene00022015,Y61A9LA.3,0.190157177300556,49.230,67.515,-0.427
WBGene00009553,hinf-1,0.190525208591925,30.798,145.613,-2.195
WBGene00009993,F53F4.11,0.190525208591925,34.820,131.514,-1.876
WBGene00001561,gei-4,0.190980248953594,353.549,707.524,-0.997
WBGene00019537,K08D12.3,0.190980248953594,86.404,251.373,-1.524
WBGene00011735,hip-1,0.191287669369329,121.038,358.869,-1.556
WBGene00020214,attf-5,0.191287669369329,60.316,0.000,5.914
WBGene00020933,W02D3.4,0.191287669369329,62.158,0.000,5.958
WBGene00021493,Y40B10A.9,0.191815256089913,60.774,8.519,2.675
WBGene00012999,rpoa-1,0.192218323995122,112.643,55.893,0.985
WBGene00008990,smgl-1,0.192267209897664,111.751,345.328,-1.615
WBGene00001330,eps-8,0.192943766529907,101.805,83.050,0.276
WBGene00021475,tbca-1,0.194164822248552,53.277,0.000,5.735
WBGene00001439,fkh-7,0.194560833254056,366.635,447.501,-0.284
WBGene00003472,mtk-1,0.194560833254056,95.623,119.186,-0.303
WBGene00005652,srr-1,0.194560833254056,369.371,440.186,-0.249
WBGene00010840,M03C11.3,0.194560833254056,40.899,61.045,-0.543
WBGene00015352,C02F5.12,0.194560833254056,34.358,126.806,-1.843
WBGene00020413,T10E9.3,0.194560833254056,999.725,1416.762,-0.502
WBGene00002077,imb-3,0.19456104476236,194.848,323.146,-0.722
WBGene00022314,Y77E11A.14,0.195064571134096,32.667,55.024,-0.709
WBGene00020251,camt-1,0.195824498716152,92.956,242.159,-1.366
WBGene00008882,F16B12.6,0.195963454772272,13.207,84.677,-2.575
WBGene00018208,F39G3.3,0.195963454772272,64.286,0.000,6.006
WBGene00022280,Y74C10AL.2,0.195963454772272,44.471,0.000,5.475
WBGene00001579,gex-2,0.198080517785744,17.799,28.438,-0.597
WBGene00007007,mak-2,0.198080517785744,20.368,27.377,-0.357
WBGene00008117,gsr-1,0.198080517785744,20.384,30.854,-0.529
WBGene00012887,Y45F10D.7,0.198080517785744,11.166,32.538,-1.419
WBGene00003633,nhr-43,0.198433237373055,52.223,156.706,-1.558
WBGene00012136,T28F4.1,0.198433237373055,35.313,146.350,-2.011
WBGene00021539,Y42H9AR.4,0.198433237373055,38.050,65.903,-0.755
WBGene00002025,hsp-60,0.199133548757422,80.639,67.258,0.240
WBGene00018316,F41H10.3,0.199133548757422,24.820,132.377,-2.358
WBGene00008362,cfim-2,0.19976990604016,29.679,14.257,0.960
WBGene00001972,hmg-1.2,0.201521827008936,51.962,163.135,-1.623
WBGene00006516,vps-16,0.201521827008936,14.008,29.215,-0.961
WBGene00019323,teg-4,0.201521827008936,71.234,177.225,-1.295
WBGene00020743,mam-8,0.201521827008936,74.767,215.675,-1.509
WBGene00044029,C05D12.7,0.201521827008936,72.078,114.834,-0.652
WBGene00045096,K01A6.7,0.201521827008936,226.870,492.153,-1.111
WBGene00010773,K11E4.1,0.202132521122666,1083.444,447.283,1.273
WBGene00019467,K07B1.7,0.202336674872598,30.345,147.097,-2.230
WBGene00000833,cts-1,0.20388225291399,595.741,323.334,0.877
WBGene00003798,npp-12,0.204685617627959,50.177,156.637,-1.614
WBGene00011827,T19A6.1,0.204685617627959,119.237,366.980,-1.610
WBGene00017618,F20A1.6,0.204685617627959,175.861,441.741,-1.321
WBGene00018974,fcho-1,0.204685617627959,35.353,54.541,-0.585
WBGene00000509,cka-1,0.205151553581727,251.189,410.806,-0.704
WBGene00021890,Y54G2A.26,0.205151553581727,213.414,383.497,-0.839
WBGene00003858,ogt-1,0.205441422502621,944.264,1522.516,-0.688
WBGene00007296,arrd-25,0.205441422502621,118.789,278.064,-1.215
WBGene00008530,F02E9.5,0.205441422502621,42.325,144.950,-1.742
WBGene00022776,perm-3,0.206041396978102,63.258,8.519,2.732
WBGene00004268,rab-5,0.206959754570415,152.286,242.487,-0.662
WBGene00008999,myrf-2,0.206959754570415,189.199,351.499,-0.886
WBGene00015344,nra-4,0.206959754570415,327.192,419.458,-0.354
WBGene00019663,K11H12.7,0.206959754570415,76.801,18.916,1.947
WBGene00011742,tgn-38,0.209813315892082,340.250,555.604,-0.703
WBGene00001284,emb-30,0.209827775045079,87.158,56.292,0.605
WBGene00013677,yars-1,0.209827775045079,85.781,160.634,-0.888
WBGene00001005,dlc-1,0.209917780137204,144.000,202.688,-0.483
WBGene00009103,rtfo-1,0.209917780137204,42.683,153.264,-1.811
WBGene00021474,dot-1.1,0.209917780137204,92.001,276.575,-1.572
WBGene00003476,mtm-3,0.210249826466494,796.161,999.830,-0.327
WBGene00009146,F26C11.1,0.210433041011924,269.510,77.984,1.771
WBGene00011719,T11G6.4,0.210433041011924,73.349,0.000,6.197
WBGene00012348,pptr-1,0.210433041011924,174.209,162.070,0.095
WBGene00015074,natc-2,0.210433041011924,13.554,38.107,-1.389
WBGene00001258,emb-4,0.210623881772336,73.220,162.139,-1.127
WBGene00008411,mans-1,0.210681422914783,63.431,0.000,5.987
WBGene00011092,R07B7.8,0.210681422914783,28.066,87.095,-1.583
WBGene00013166,Y53F4B.20,0.210681422914783,78.982,0.000,6.303
WBGene00015687,chdp-1,0.210681422914783,68.929,0.000,6.107
WBGene00000913,daf-18,0.211529728691704,55.917,184.598,-1.697
WBGene00002295,let-19,0.211572637249041,465.580,775.470,-0.733
WBGene00010579,K05C4.2,0.211572637249041,66.061,0.000,6.046
WBGene00011067,vps-11,0.211572637249041,35.642,144.976,-1.984
WBGene00012150,syx-17,0.211572637249041,44.211,0.000,5.466
WBGene00013602,Y87G2A.16,0.211572637249041,68.590,0.000,6.100
WBGene00020968,W03A5.4,0.211572637249041,141.035,36.422,1.914
WBGene00017274,F08F8.9,0.211762016955234,111.475,107.775,0.035
WBGene00010044,F54C9.9,0.212126655621821,87.391,224.109,-1.342
WBGene00010496,sec-12,0.212126655621821,35.514,79.054,-1.114
WBGene00010867,tag-260,0.21229158323376,285.618,618.212,-1.109
WBGene00000414,cec-1,0.212779295485801,53.198,149.947,-1.468
WBGene00016469,C36B7.6,0.213018880996335,238.616,98.774,1.258
WBGene00000585,cogc-2,0.213281579988271,69.068,125.363,-0.839
WBGene00003009,lin-23,0.213281579988271,59.158,147.732,-1.296
WBGene00010844,prp-3,0.213282080950466,29.115,74.458,-1.306
WBGene00017088,akir-1,0.213282080950466,99.889,10.719,3.091
WBGene00019813,ger-1,0.213499405994751,50.042,0.000,5.645
WBGene00001231,eif-3.H,0.213669390425548,36.669,11.158,1.593
WBGene00002240,ksr-2,0.213669390425548,119.891,246.494,-1.028
WBGene00003919,par-4,0.213669390425548,31.132,115.855,-1.850
WBGene00007556,C14A4.3,0.213669390425548,37.126,11.158,1.611
WBGene00008077,oac-8,0.213669390425548,25.145,135.650,-2.375
WBGene00013678,Y105E8A.20,0.213669390425548,35.168,179.963,-2.315
WBGene00008214,gem-1,0.214516077038944,61.432,0.000,5.941
WBGene00011580,ddx-19,0.214559453484312,13.552,15.883,-0.126
WBGene00018361,F42G8.10,0.214610055354952,35.211,122.489,-1.758
WBGene00000041,aco-2,0.214622235811423,154.269,256.465,-0.724
WBGene00000226,atl-1,0.214622235811423,112.278,34.157,1.675
WBGene00003914,pam-1,0.214622235811423,92.190,262.039,-1.492
WBGene00016062,C24G6.8,0.214622235811423,36.562,174.247,-2.214
WBGene00017760,F23H11.4,0.214622235811423,51.718,82.260,-0.642
WBGene00001404,fbp-1,0.215495349706305,330.496,713.401,-1.106
WBGene00010620,K07A12.1,0.215495349706305,39.778,93.708,-1.200
WBGene00015301,C01F1.6,0.215495349706305,73.221,257.540,-1.795
WBGene00016118,C25H3.9,0.215495349706305,75.379,3.573,4.043
WBGene00003589,nex-2,0.216652558320156,274.462,646.386,-1.231
WBGene00004106,pqn-15,0.216652558320156,49.289,16.693,1.478
WBGene00010008,F53H4.3,0.216652558320156,50.020,0.000,5.644
WBGene00016608,cogc-5,0.216652558320156,59.022,8.519,2.632
WBGene00020391,cct-7,0.216652558320156,113.104,207.965,-0.866
WBGene00003918,par-3,0.216794571977683,89.817,132.673,-0.547
WBGene00012978,Y48B6A.1,0.216794571977683,48.280,186.178,-1.918
WBGene00020741,dlhd-1,0.216794571977683,120.724,21.511,2.423
WBGene00016162,crh-2,0.216921169023575,167.273,385.097,-1.194
WBGene00020131,gcy-28,0.218076339365339,513.072,717.984,-0.482
WBGene00003626,nhr-32,0.218931086578387,34.502,173.440,-2.288
WBGene00044500,T19E7.6,0.218931086578387,29.623,78.268,-1.354
WBGene00022579,ZC262.2,0.219057765873852,39.483,68.452,-0.758
WBGene00000294,cas-1,0.219152341778892,24.763,129.175,-2.326
WBGene00003072,lrp-2,0.219330056450644,284.135,392.996,-0.463
WBGene00002070,ile-1,0.219374140277567,232.270,488.105,-1.065
WBGene00018861,cutl-21,0.219374140277567,416.193,738.810,-0.824
WBGene00012971,Y48A6B.10,0.219904746136681,58.120,0.000,5.861
WBGene00017240,calu-2,0.219904746136681,54.490,0.000,5.768
WBGene00021362,Y37E11AL.6,0.219904746136681,49.740,0.000,5.636
WBGene00003149,mbk-1,0.220010963342845,67.430,123.270,-0.849
WBGene00012158,ucr-2.1,0.220443564881203,124.410,12.152,3.242
WBGene00002241,kup-1,0.220738201597818,95.000,236.823,-1.303
WBGene00006763,unc-26,0.222730752379621,66.309,0.000,6.051
WBGene00003401,mpk-1,0.222958102650248,24.763,86.551,-1.748
WBGene00004189,pars-1,0.222958102650248,77.410,113.897,-0.539
WBGene00004318,rbg-2,0.222958102650248,43.180,149.938,-1.763
WBGene00013766,prmt-1,0.222958102650248,86.172,238.088,-1.450
WBGene00019245,sacy-1,0.222958102650248,23.280,51.804,-1.093
WBGene00018160,odr-8,0.223961906469677,47.509,191.821,-1.983
WBGene00000200,arx-2,0.224394694301618,102.894,212.243,-1.031
WBGene00001186,egl-18,0.224394694301618,189.686,366.460,-0.942
WBGene00008502,skih-2,0.224394694301618,54.397,70.035,-0.338
WBGene00017641,csr-1,0.224394694301618,50.421,3.573,3.463
WBGene00023486,K08B4.7,0.224394694301618,45.442,0.000,5.506
WBGene00010877,lact-4,0.224876687157425,723.512,457.061,0.659
WBGene00002175,jac-1,0.225188864014761,117.798,24.304,2.219
WBGene00001169,eef-1A.2,0.225855741192273,905.066,1436.184,-0.665
WBGene00010013,F54B3.1,0.225855741192273,188.245,367.886,-0.959
WBGene00010306,golg-4,0.225855741192273,267.133,306.775,-0.194
WBGene00010444,magi-1,0.225855741192273,30.888,41.625,-0.384
WBGene00000520,cku-80,0.226198729769722,24.875,19.846,0.255
WBGene00004367,ric-8,0.226198729769722,28.770,94.279,-1.663
WBGene00009678,magu-4,0.226198729769722,47.520,98.785,-1.026
WBGene00021497,Y40C5A.4,0.226198729769722,67.352,0.000,6.074
WBGene00021681,Y48G1C.8,0.226198729769722,56.151,7.146,2.785
WBGene00022727,prkl-1,0.226198729769722,55.857,0.000,5.804
WBGene00001225,eif-3.B,0.226252461808236,91.934,185.036,-0.994
WBGene00003901,paa-1,0.226252461808236,154.674,250.790,-0.688
WBGene00017349,farl-11,0.226252461808236,92.587,241.140,-1.365
WBGene00004128,pqn-41,0.226263605125831,192.880,360.733,-0.896
WBGene00010231,F58B3.4,0.226275264640828,33.363,217.974,-2.665
WBGene00020197,mans-3,0.226275264640828,121.646,16.693,2.781
WBGene00009974,F53C11.4,0.226458594346678,75.073,245.398,-1.690
WBGene00010440,ttr-51,0.226474562571457,310.655,0.000,8.279
WBGene00000063,act-1,0.227290295127302,138.999,301.257,-1.106
WBGene00000969,dhs-5,0.227290295127302,148.425,31.948,2.171
WBGene00006610,tre-4,0.227290295127302,54.885,0.000,5.778
WBGene00012016,inpp-1,0.227290295127302,49.289,0.000,5.623
WBGene00012127,T28D6.7,0.227290295127302,122.386,14.073,3.021
WBGene00012676,pro-3,0.227290295127302,42.336,42.846,0.016
WBGene00013164,Y53F4B.18,0.227290295127302,46.811,0.000,5.549
WBGene00017806,F26A1.8,0.227330570655421,530.836,224.680,1.234
WBGene00000182,arf-1.2,0.230459001084538,146.108,213.304,-0.536
WBGene00000838,cul-3,0.230459001084538,17.186,77.568,-2.093
WBGene00013639,Y105C5A.15,0.230459001084538,24.798,83.185,-1.689
WBGene00018896,F55F8.8,0.230459001084538,35.624,231.582,-2.661
WBGene00003124,mai-1,0.230477986730459,48.704,0.000,5.606
WBGene00016984,npr-8,0.230477986730459,47.448,0.000,5.568
WBGene00017747,F23F1.6,0.230477986730459,197.263,77.486,1.330
WBGene00020883,fbxa-64,0.230477986730459,51.222,0.000,5.679
WBGene00011093,R07B7.9,0.231048687374517,86.439,90.368,-0.048
WBGene00006704,ubc-7,0.232300523043006,73.643,177.665,-1.251
WBGene00006805,unc-73,0.232585299089604,532.648,330.716,0.683
WBGene00012031,T25G3.4,0.232585299089604,52.195,18.125,1.448
WBGene00022785,ZK652.6,0.232657328007498,56.442,66.007,-0.201
WBGene00004923,snt-3,0.232743700082649,51.635,210.904,-2.002
WBGene00008940,F18H3.4,0.232743700082649,30.961,76.016,-1.250
WBGene00012126,T28D6.6,0.232743700082649,53.837,211.865,-1.950
WBGene00009285,F31C3.3,0.232968476114861,99.871,168.222,-0.738
WBGene00008987,F20G2.3,0.233733941265901,45.666,0.000,5.513
WBGene00022168,Y71H2AM.3,0.233733941265901,47.295,0.000,5.564
WBGene00002059,ife-1,0.23478283739443,22.071,90.134,-1.966
WBGene00004459,rpn-2,0.23478283739443,81.520,187.978,-1.188
WBGene00006803,unc-70,0.23478283739443,222.728,341.251,-0.609
WBGene00015328,C02B10.3,0.23478283739443,443.107,256.700,0.782
WBGene00015418,pac-1,0.23478283739443,83.747,202.967,-1.260
WBGene00018426,F44E7.4,0.23478283739443,116.965,274.864,-1.220
WBGene00019347,mbl-1,0.23478283739443,19.643,83.761,-2.021
WBGene00019408,K05F1.6,0.23478283739443,23.757,72.676,-1.554
WBGene00044789,T07A9.14,0.23478283739443,21.866,17.994,0.203
WBGene00015115,B0286.1,0.235163004097686,392.089,147.133,1.404
WBGene00019764,M03F8.5,0.235334417334719,421.377,229.865,0.868
WBGene00000566,cnt-2,0.235985796259414,88.694,170.312,-0.925
WBGene00001173,egl-4,0.235985796259414,240.088,423.840,-0.814
WBGene00003568,ncx-3,0.235985796259414,188.050,404.971,-1.099
WBGene00003638,nhr-48,0.235985796259414,48.879,0.000,5.611
WBGene00004186,prpf-4,0.235985796259414,70.204,217.691,-1.612
WBGene00009218,acs-20,0.235985796259414,44.967,218.546,-2.249
WBGene00010097,srpa-68,0.235985796259414,90.058,248.191,-1.447
WBGene00013232,faah-4,0.235985796259414,41.150,0.000,5.363
WBGene00018615,F48G7.4,0.236413792463649,39.586,94.070,-1.213
WBGene00010962,ctc-3,0.236532250318304,994.618,1273.524,-0.355
WBGene00004755,sec-24.1,0.236778303963108,194.204,380.077,-0.961
WBGene00004947,sos-1,0.236778303963108,211.940,302.476,-0.506
WBGene00007008,rfp-1,0.236778303963108,54.457,54.931,0.014
WBGene00015283,C01B10.9,0.236778303963108,49.795,115.481,-1.185
WBGene00003620,nhr-21,0.237102151564941,286.876,12.118,4.451
WBGene00019719,M01H9.3,0.237102151564941,275.276,143.378,0.931
WBGene00000767,coq-8,0.240695095035309,22.483,72.716,-1.631
WBGene00000975,dhs-12,0.240695095035309,79.455,0.000,6.312
WBGene00009688,F44E5.1,0.240695095035309,182.773,98.574,0.876
WBGene00010212,fbxa-192,0.240695095035309,54.490,0.000,5.768
WBGene00016907,C53H9.2,0.240695095035309,23.406,75.105,-1.622
WBGene00017280,usp-39,0.240695095035309,22.695,70.252,-1.568
WBGene00000959,dgk-2,0.240806561480874,189.795,328.012,-0.782
WBGene00010731,K10C3.4,0.241733379499619,71.095,46.150,0.592
WBGene00011771,T14G8.3,0.242272434822845,928.080,428.078,1.113
WBGene00022800,ZK688.5,0.242272434822845,91.341,224.765,-1.283
WBGene00003674,nhr-84,0.242434379846954,33.328,156.836,-2.192
WBGene00010279,letm-1,0.242434379846954,65.727,154.118,-1.208
WBGene00016400,C34D4.4,0.242434379846954,78.881,67.119,0.212
WBGene00017535,atf-8,0.242434379846954,83.774,18.607,2.095
WBGene00013177,rsy-1,0.242774964534592,25.884,91.813,-1.772
WBGene00007009,wwp-1,0.242916072003015,148.772,154.901,-0.049
WBGene00021736,wrb-1,0.245061986376267,59.181,0.000,5.887
WBGene00006494,hke-4.2,0.246226756215249,242.467,96.034,1.321
WBGene00007068,cTel55X.1,0.246226756215249,89.301,151.731,-0.749
WBGene00015966,C18C4.5,0.246450160573287,91.317,122.942,-0.413
WBGene00006523,tam-1,0.246481016469052,516.359,308.784,0.737
WBGene00006063,sto-1,0.247036416975019,64.979,0.000,6.022
WBGene00016197,pxl-1,0.247036416975019,31.582,105.732,-1.698
WBGene00017045,atg-13,0.247036416975019,29.432,86.350,-1.505
WBGene00000912,daf-16,0.247595934068833,67.080,198.139,-1.541
WBGene00000815,csn-3,0.24776311186559,13.915,87.634,-2.555
WBGene00020297,nog-1,0.24776311186559,235.013,396.270,-0.748
WBGene00012319,ipla-3,0.248023505791992,52.512,203.030,-1.924
WBGene00004274,rab-11.1,0.249208475484241,429.386,949.410,-1.141
WBGene00011507,T05H10.1,0.249208475484241,68.736,111.022,-0.671
WBGene00019946,chat-1,0.249208475484241,74.913,158.545,-1.062
WBGene00001038,dnj-20,0.249240895026909,567.433,385.238,0.555
WBGene00019963,R08E5.3,0.249240895026909,114.246,27.877,1.984
WBGene00044348,Y71G12B.31,0.249322499272706,494.808,34.139,3.816
WBGene00012140,T28F4.5,0.249500749962979,120.374,371.312,-1.613
WBGene00007405,C07A9.9,0.250460923963834,71.080,174.188,-1.273
WBGene00003218,mep-1,0.250607404425441,308.128,366.907,-0.247
WBGene00003389,mog-1,0.250607404425441,32.101,77.292,-1.223
WBGene00016661,C45B2.6,0.250607404425441,31.135,84.574,-1.396
WBGene00012030,T25G3.3,0.252156105601227,55.319,0.000,5.790
WBGene00021973,emc-2,0.252156105601227,55.526,0.000,5.795
WBGene00006591,toh-1,0.252268959597196,217.663,502.720,-1.201
WBGene00019521,dmd-7,0.252268959597196,309.453,641.759,-1.048
WBGene00044989,Y37A1B.17,0.253425698528599,77.406,170.793,-1.123
WBGene00001771,gst-23,0.253496007544195,56.596,0.000,5.823
WBGene00077771,C41G7.9,0.253496007544195,46.090,0.000,5.526
WBGene00000381,cct-6,0.253992287441483,107.588,193.004,-0.830
WBGene00004321,rcan-1,0.253992287441483,526.208,299.130,0.810
WBGene00006917,vha-8,0.253992287441483,724.777,1242.844,-0.776
WBGene00010502,K02C4.3,0.253992287441483,41.334,0.000,5.369
WBGene00011815,bath-43,0.253992287441483,51.407,151.867,-1.535
WBGene00011868,best-18,0.253992287441483,121.250,29.029,2.014
WBGene00013852,hhat-1,0.253992287441483,58.842,168.179,-1.491
WBGene00016570,gnrr-4,0.253992287441483,43.623,0.000,5.447
WBGene00019885,R05D8.7,0.253992287441483,51.744,0.000,5.693
WBGene00020092,pcf-11,0.253992287441483,36.891,36.565,0.051
WBGene00020259,T05E7.3,0.253992287441483,33.495,76.879,-1.156
WBGene00006415,tag-30,0.254021788608175,19.596,78.896,-1.938
WBGene00007647,C17E4.10,0.254021788608175,45.682,106.796,-1.194
WBGene00010232,F58B3.6,0.254021788608175,21.171,65.706,-1.567
WBGene00019884,R05D3.12,0.254021788608175,17.181,76.917,-2.081
WBGene00002080,xpo-3,0.255598500359633,45.432,0.000,5.506
WBGene00018487,F46C8.8,0.255598500359633,45.828,0.000,5.518
WBGene00003728,nhr-138,0.255618405897191,117.290,232.913,-0.977
WBGene00004075,pod-1,0.255618405897191,47.048,149.602,-1.639
WBGene00019504,K07H8.2,0.255618405897191,294.248,109.513,1.413
WBGene00019652,K11G9.1,0.255618405897191,50.024,80.158,-0.652
WBGene00015009,B0041.5,0.255983480366173,96.625,13.653,2.721
WBGene00015943,tiar-1,0.255983480366173,99.035,31.156,1.623
WBGene00007042,pbrm-1,0.256499776345239,178.686,306.910,-0.772
WBGene00007602,C15C6.3,0.257127275230263,59.018,0.000,5.883
WBGene00004273,rab-10,0.258362737161356,61.219,111.272,-0.839
WBGene00020507,vha-15,0.258916685215027,224.672,459.867,-1.027
WBGene00001023,dnj-5,0.25900686536267,58.685,100.120,-0.746
WBGene00043985,C44C10.11,0.25900686536267,42.603,152.414,-1.805
WBGene00015038,nstp-6,0.259621334601313,44.225,0.000,5.467
WBGene00004413,rpl-2,0.261395718706441,484.418,493.566,-0.024
WBGene00017311,F09G2.2,0.262064547332019,53.089,121.614,-1.169
WBGene00013938,ZK218.4,0.262896230112206,45.529,0.000,5.509
WBGene00022021,Y61A9LA.10,0.262896230112206,50.704,156.422,-1.597
WBGene00006436,ttn-1,0.263427114705148,392.510,129.363,1.590
WBGene00011366,T02C1.2,0.264396498127107,34.865,89.723,-1.323
WBGene00016315,C32D5.7,0.264396498127107,115.215,285.875,-1.299
WBGene00007217,tads-1,0.264637398998338,16.716,12.118,0.350
WBGene00015207,B0495.8,0.265470764403634,34.878,145.574,-2.021
WBGene00022176,Y71H2AM.11,0.26574757352738,54.418,203.496,-1.877
WBGene00016582,C42C1.4,0.266570055291686,36.292,114.125,-1.614
WBGene00015647,C09F5.1,0.266824272471704,97.343,233.679,-1.249
WBGene00004704,rsp-7,0.266952219120097,41.944,137.688,-1.681
WBGene00022089,Y69A2AR.18,0.266952219120097,161.533,269.886,-0.732
WBGene00019771,M04F3.5,0.271416749039161,200.320,73.179,1.433
WBGene00010631,cash-1,0.272245067768511,66.560,169.073,-1.323
WBGene00017085,E01A2.2,0.272245067768511,44.725,47.228,-0.047
WBGene00012768,eef-1B.2,0.272315555493861,184.475,352.161,-0.925
WBGene00044906,Y67A10A.11,0.273576775677359,40.558,0.000,5.342
WBGene00019893,sgt-1,0.273657038916431,196.033,416.186,-1.079
WBGene00009732,cope-1,0.273701750336059,122.637,133.666,-0.113
WBGene00002081,ina-1,0.274230938323787,61.906,203.855,-1.696
WBGene00004447,rpl-33,0.274230938323787,535.959,663.222,-0.305
WBGene00017317,attf-2,0.274230938323787,44.812,148.597,-1.698
WBGene00003025,lin-40,0.275548145582632,72.703,158.548,-1.105
WBGene00004148,pqn-65,0.275635983817054,104.491,219.872,-1.060
WBGene00016269,C30G4.4,0.275635983817054,58.354,173.029,-1.544
WBGene00000441,ceh-18,0.276106855431134,105.556,14.421,2.775
WBGene00001008,dlk-1,0.276106855431134,154.043,240.236,-0.632
WBGene00011939,prmt-3,0.276106855431134,33.595,123.966,-1.841
WBGene00015632,C09D4.1,0.276106855431134,40.012,0.000,5.322
WBGene00019770,M04F3.4,0.276106855431134,33.190,150.626,-2.139
WBGene00077526,C25A1.16,0.276106855431134,35.194,12.092,1.427
WBGene00003609,nhr-10,0.276242319515415,338.060,201.199,0.742
WBGene00004147,larp-5,0.276242319515415,462.969,490.597,-0.081
WBGene00003623,nhr-25,0.277068620104499,26.386,98.421,-1.846
WBGene00017692,F22B7.1,0.277068620104499,16.410,111.959,-2.685
WBGene00016384,cdgs-1,0.277264643228273,50.925,194.986,-1.909
WBGene00002265,lec-2,0.277580521454499,745.339,591.910,0.330
WBGene00021536,Y42H9AR.1,0.277580521454499,153.711,42.699,1.815
WBGene00007758,C27A7.8,0.277779455899825,112.459,309.827,-1.449
WBGene00007630,har-1,0.278044475257584,52.520,93.682,-0.808
WBGene00011503,gcc-2,0.278650359630737,141.423,28.341,2.269
WBGene00003990,pfn-2,0.279469703991248,157.855,309.252,-0.961
WBGene00010941,gss-1,0.279469703991248,73.744,177.894,-1.251
WBGene00011032,R05D11.4,0.279469703991248,52.406,0.000,5.712
WBGene00206419,R106.5,0.279469703991248,52.396,49.736,0.046
WBGene00000225,atgp-2,0.279981632532164,34.593,118.950,-1.741
WBGene00017373,F10G7.10,0.279981632532164,143.907,399.567,-1.463
WBGene00018512,trpp-8,0.279981632532164,100.754,274.790,-1.433
WBGene00021073,nol-1,0.279981632532164,29.858,122.616,-1.990
WBGene00001648,goa-1,0.280641543461134,52.718,151.488,-1.496
WBGene00007686,tomm-40,0.280641543461134,56.618,11.719,2.154
WBGene00022598,ztf-8,0.282385124381683,46.033,209.408,-2.155
WBGene00007621,C16C2.4,0.282390941055952,61.329,142.425,-1.192
WBGene00007696,tram-1,0.283460092291347,661.923,344.311,0.939
WBGene00009952,acaa-2,0.283785581722957,26.671,120.323,-2.120
WBGene00009600,F40G12.5,0.28398317469004,35.624,163.043,-2.154
WBGene00006771,tln-1,0.286037485665926,57.567,86.582,-0.564
WBGene00011605,T08A11.2,0.287752186069267,78.380,154.375,-0.960
WBGene00017144,brap-2,0.287752186069267,46.519,102.192,-1.105
WBGene00011299,ikke-1,0.287928422361606,111.324,298.698,-1.411
WBGene00008050,C41C4.1,0.289538517170553,269.677,409.284,-0.597
WBGene00001167,eef-2,0.289581213525253,2695.223,3494.247,-0.374
WBGene00002324,let-49,0.289581213525253,35.936,0.000,5.167
WBGene00004312,rba-1,0.289581213525253,37.273,141.837,-1.890
WBGene00018812,sumv-2,0.289581213525253,41.548,3.573,3.184
WBGene00020498,T14B4.1,0.289581213525253,46.928,3.573,3.359
WBGene00020679,ogdh-1,0.289581213525253,350.540,175.179,0.993
WBGene00000421,ced-7,0.289693714641761,1295.657,1876.367,-0.533
WBGene00006697,uaf-1,0.289693714641761,86.300,286.824,-1.716
WBGene00011980,T24B8.7,0.290377228568088,211.601,202.414,0.057
WBGene00016603,met-1,0.291261388656805,181.770,68.498,1.387
