Table S7: Differential expression test results for the identification of cell type enriched genes. ,,,,,,,,
gene_id,symbol,max.cell.type,max.cell.type.expr,cell.type.2,cell.type.2.expr,ratio,pval,qval
WBGene00000098,air-1,Germline,105.20,Somatic_gonad_precursors,98.74,1.05,0.0635199847897304,0.243816594044548
WBGene00007403,set-3,Germline,167.76,Canal_associated_neurons,65.72,2.51,0.0635839209993135,0.24397305746301
WBGene00044256,Y45F10C.6,Germline,2.33,Body_wall_muscle,0.21,1.93,0.0638577236264667,0.244977273965198
WBGene00009002,hint-1,Canal_associated_neurons,152.88,Intestinal/rectal_muscle,63.81,2.36,0.0639697921663402,0.24526795101265
WBGene00006836,unc-112,Body_wall_muscle,769.29,Intestinal/rectal_muscle,597.56,1.29,0.0640324053723918,0.24542909907378
WBGene00006644,tsp-18,Ciliated_sensory_neurons,16.36,Vulval_precursors,1.18,7.52,0.0642030799663003,0.245776528633073
WBGene00015734,copd-1,Distal_tip_cells,373.31,Pharyngeal_gland,189.75,1.96,0.0642115581688497,0.245776528633073
WBGene00002111,ins-28,Pharyngeal_neurons,179.78,Cholinergic_neurons,57.84,3.06,0.0642554121988592,0.245897953687573
WBGene00194664,K09E9.7,flp-1(+)_interneurons,44.09,Distal_tip_cells,26.86,1.58,0.0642840315377991,0.245961042525996
WBGene00013253,Y57A10A.8,Pharyngeal_neurons,51.58,Germline,42.02,1.20,0.0642978797918203,0.245967601672012
WBGene00019994,cdh-1,Other_interneurons,710.37,Vulval_precursors,475.98,1.49,0.0643613942327931,0.2461641174515
WBGene00011310,T01B4.3,Pharyngeal_epithelia,130.55,Pharyngeal_muscle,56.76,2.26,0.064388402423339,0.246218890031764
WBGene00019801,aak-1,Distal_tip_cells,701.88,Intestinal/rectal_muscle,416.87,1.68,0.0644000076438465,0.246218890031764
WBGene00015378,C03B1.7,Intestine,159.80,Canal_associated_neurons,41.29,3.78,0.064476696852902,0.246465608505596
WBGene00000439,ceh-16,Seam_cells,42.89,Cholinergic_neurons,16.91,2.40,0.0645137615465674,0.246560795684477
WBGene00018975,F56E10.1,Germline,477.80,Somatic_gonad_precursors,374.73,1.27,0.0646223831954836,0.246929374129245
WBGene00009643,F42G4.6,Intestine,27.77,Seam_cells,2.13,8.88,0.064641698299486,0.246956627634542
WBGene00010849,M04B2.7,Ciliated_sensory_neurons,296.16,Cholinergic_neurons,168.39,1.75,0.0647749807212553,0.247372576149315
WBGene00019424,aptf-1,Pharyngeal_epithelia,1.17,Body_wall_muscle,0.09,1.08,0.0648152835309162,0.247479866727294
WBGene00004187,prp-8,Somatic_gonad_precursors,1157.78,Germline,926.77,1.25,0.06485307116797,0.247577515187555
WBGene00018671,F52C6.14,Socket_cells,15.29,Germline,1.42,6.31,0.0648678439375916,0.247587283837115
WBGene00005299,srh-78,Ciliated_sensory_neurons,20.23,Intestinal/rectal_muscle,2.05,6.64,0.0649307418244105,0.247769813403212
WBGene00012496,Y24F12A.1,Oxygen_sensory_neurons,74.23,Germline,68.43,1.07,0.0649529773435687,0.247772262651765
WBGene00018262,cyp-33C3,Intestine,78.26,Coelomocytes,23.50,3.19,0.0649725837446768,0.247800422406085
WBGene00001591,glc-1,Intestine,52.58,Ciliated_sensory_neurons,6.23,7.28,0.0649892862059808,0.247817498247072
WBGene00011919,T22C1.9,Body_wall_muscle,1.13,Germline,0.25,0.90,0.0651262474898322,0.248159896273844
WBGene00010261,srh-308,Vulval_precursors,12.23,Intestine,1.62,4.66,0.0651583465561209,0.248182011841156
WBGene00009954,F53B2.1,Germline,2.19,Seam_cells,0.19,1.84,0.0651828241880783,0.248182011841156
WBGene00003784,nos-2,Germline,1.82,Seam_cells,0.16,1.57,0.0651828242830801,0.248182011841156
WBGene00018781,F54A3.2,Germline,118.74,Somatic_gonad_precursors,85.56,1.37,0.065276589800718,0.248399052346603
WBGene00010478,K01G5.5,Vulval_precursors,460.01,Somatic_gonad_precursors,418.69,1.10,0.0652566955872715,0.248399052346603
WBGene00017459,F14D2.11,Germline,14.67,Pharyngeal_muscle,0.46,10.03,0.0653667152665795,0.248695323792949
WBGene00007796,C28D4.10,Non-seam_hypodermis,1.05,Body_wall_muscle,0.36,0.77,0.0654272629563441,0.248832279059693
WBGene00011529,T06D8.9,Excretory_cells,102.46,Germline,70.09,1.44,0.0654713349733685,0.248953185377069
WBGene00018871,F55C12.4,Cholinergic_neurons,442.18,GABAergic_neurons,265.37,1.66,0.0656280335510943,0.249502225827875
WBGene00006538,tbb-4,Ciliated_sensory_neurons,376.63,Oxygen_sensory_neurons,206.77,1.81,0.0657858232287238,0.249952661060751
WBGene00002042,hus-1,Canal_associated_neurons,34.87,Germline,20.07,1.66,0.0657958363879516,0.249952661060751
WBGene00219373,F01E11.18,flp-1(+)_interneurons,302.37,Pharyngeal_neurons,119.42,2.51,0.065883615702744,0.250239230637123
WBGene00010639,K07F5.15,Coelomocytes,182.01,Vulval_precursors,127.97,1.41,0.0659762704536299,0.250544207262183
WBGene00000966,dhs-2,Excretory_cells,164.98,Intestine,126.62,1.29,0.0663120021117336,0.251724830488193
WBGene00007634,C16D6.1,Other_interneurons,66.79,Ciliated_sensory_neurons,17.91,3.53,0.0663477361782919,0.251813323360823
WBGene00018906,egas-4,Ciliated_sensory_neurons,71.47,Socket_cells,14.47,4.62,0.0665145232305336,0.25235184360961
WBGene00022695,ZK328.6,Pharyngeal_muscle,90.49,Touch_receptor_neurons,21.85,3.96,0.0665292605681168,0.252360524134786
WBGene00021900,Y54H5A.2,Somatic_gonad_precursors,199.53,Sex_myoblasts,101.28,1.95,0.0665723830962119,0.252476852711564
WBGene00010055,F54D5.12,Germline,101.91,Intestine,75.41,1.33,0.0666044109853527,0.252551069039297
WBGene00010139,F56A8.3,Sex_myoblasts,240.13,Somatic_gonad_precursors,224.42,1.07,0.0666451427634166,0.252658254901294
WBGene00006592,dpy-31,Socket_cells,404.35,Rectum,149.05,2.69,0.0666690138384503,0.252701492056699
WBGene00022194,Y71H2B.4,Body_wall_muscle,55.90,Socket_cells,12.36,4.18,0.0667176043929559,0.252838391970389
WBGene00001036,dnj-18,GABAergic_neurons,37.54,Germline,28.42,1.28,0.066735648131729,0.252859499678183
WBGene00011228,R11.3,Vulval_precursors,30.93,Somatic_gonad_precursors,11.82,2.41,0.0667832248333555,0.252992478153046
WBGene00020311,T07D3.9,Intestine,44.11,Distal_tip_cells,13.98,2.95,0.0668254451066615,0.253066333633021
WBGene00009863,F49B2.3,Coelomocytes,4.52,Body_wall_muscle,1.09,2.17,0.066827689010782,0.253066333633021
WBGene00013601,Y87G2A.13,Sex_myoblasts,125.10,Body_wall_muscle,83.69,1.48,0.0668551779074624,0.253123143698575
WBGene00002077,imb-3,Germline,1426.09,Somatic_gonad_precursors,1189.69,1.20,0.0668999999670015,0.253245546093574
WBGene00012459,Y17G7B.3,Germline,43.79,Cholinergic_neurons,41.08,1.04,0.0669816693526187,0.253412732259599
WBGene00000622,col-45,Germline,3.81,Seam_cells,0.58,2.41,0.0670373561570421,0.253576086333159
WBGene00013124,Y52B11A.4,flp-1(+)_interneurons,1533.21,Pharyngeal_muscle,1046.15,1.46,0.0670752173237082,0.253671964621061
WBGene00018523,lact-1,Socket_cells,232.99,Cholinergic_neurons,120.92,1.91,0.0671473731580793,0.253897482053241
WBGene00010406,math-33,Germline,267.31,GABAergic_neurons,257.27,1.03,0.0673186326670824,0.254307864851738
WBGene00000773,cpf-1,Germline,85.76,Somatic_gonad_precursors,46.85,1.79,0.0673373158317252,0.25433104699551
WBGene00000148,aph-2,Germline,190.33,Somatic_gonad_precursors,146.77,1.29,0.0673731484613948,0.254418981456955
WBGene00011468,T05C12.4,Pharyngeal_muscle,57.67,Pharyngeal_epithelia,17.64,3.09,0.0674500042616523,0.25464622096562
WBGene00006570,tig-2,Canal_associated_neurons,336.41,Cholinergic_neurons,162.75,2.05,0.0674584483540713,0.25464622096562
WBGene00016390,C34B2.5,Pharyngeal_gland,73.09,Germline,50.24,1.43,0.0675034901910502,0.254721379311761
WBGene00015914,C17F4.8,Pharyngeal_neurons,130.75,GABAergic_neurons,38.73,3.29,0.0675346214722558,0.254791422271375
WBGene00045050,ZC15.10,Pharyngeal_neurons,83.70,Pharyngeal_muscle,25.66,3.14,0.0675850709473501,0.254934308368763
WBGene00006510,mtrr-1,Germline,153.42,Somatic_gonad_precursors,100.89,1.51,0.0676690345678226,0.255108610698221
WBGene00013219,Y54G11A.11,Somatic_gonad_precursors,73.38,GABAergic_neurons,66.51,1.09,0.0676495763611045,0.255108610698221
WBGene00013024,cept-2,GABAergic_neurons,32.55,Germline,29.86,1.05,0.0676643363052546,0.255108610698221
WBGene00017240,calu-2,Canal_associated_neurons,265.08,Touch_receptor_neurons,96.84,2.71,0.0677621353429614,0.255364611551807
WBGene00009064,F22G12.4,Coelomocytes,299.26,Rectum,116.31,2.55,0.0678534365544316,0.255661154720239
WBGene00010215,nhr-193,Intestine,13.91,Seam_cells,0.59,8.76,0.067954201202406,0.255993237794828
WBGene00016371,C33H5.2,Germline,1.87,Seam_cells,0.40,1.34,0.0679824871899678,0.256004643846895
WBGene00009307,F32A11.1,Canal_associated_neurons,107.98,Germline,96.68,1.11,0.0679741533075147,0.256004643846895
WBGene00021583,clec-72,Intestine,57.15,flp-1(+)_interneurons,8.95,5.75,0.0680158596883757,0.256035188810225
WBGene00010874,M05D6.1,Ciliated_sensory_neurons,107.96,Am/PH_sheath_cells,38.19,2.75,0.0680078081165279,0.256035188810225
WBGene00022579,ZC262.2,Canal_associated_neurons,115.75,Germline,104.10,1.10,0.0680975192271214,0.25629498927831
WBGene00011454,lron-14,Cholinergic_neurons,233.36,GABAergic_neurons,117.38,1.97,0.0682397665713612,0.256687383219162
WBGene00043066,acr-25,Pharyngeal_muscle,37.85,Other_interneurons,3.53,8.35,0.0683688129557661,0.257077389617202
WBGene00010335,F59F3.6,Socket_cells,59.14,Other_interneurons,15.68,3.55,0.0684473784139757,0.257325075636072
WBGene00020740,T23F4.2,Socket_cells,440.96,Excretory_cells,205.66,2.13,0.0685524073827237,0.257624369680236
WBGene00022848,ZK1055.7,Intestine,327.61,Am/PH_sheath_cells,161.42,2.02,0.0685423428950336,0.257624369680236
WBGene00015988,C18H2.1,Germline,45.60,Pharyngeal_gland,7.16,5.59,0.0685724153933859,0.257651794706084
WBGene00007548,C13C4.4,GABAergic_neurons,223.55,Other_interneurons,98.83,2.24,0.0685880454805539,0.257662763146091
WBGene00011670,fbxa-84,Intestine,8.68,Seam_cells,0.10,7.86,0.0686025149836707,0.257668788057262
WBGene00007064,2RSSE.1,Socket_cells,326.11,Distal_tip_cells,165.41,1.96,0.0686150716754526,0.257668788057262
WBGene00194998,C16C4.18,Germline,13.38,Somatic_gonad_precursors,2.76,3.55,0.0686790192781647,0.2578085700346
WBGene00018466,F45E1.5,Ciliated_sensory_neurons,110.18,GABAergic_neurons,36.96,2.90,0.068690448757184,0.2578085700346
WBGene00004272,rab-8,Distal_tip_cells,315.19,Coelomocytes,134.70,2.32,0.0687209041857698,0.257875129350192
WBGene00020756,T24A6.20,Am/PH_sheath_cells,184.05,Excretory_cells,59.48,3.04,0.0687358658005833,0.257883534266819
WBGene00005638,srm-1,Ciliated_sensory_neurons,16.43,Non-seam_hypodermis,2.07,5.35,0.0687828018507572,0.258011875706273
WBGene00017663,F21D12.3,GABAergic_neurons,1659.44,Touch_receptor_neurons,1123.62,1.48,0.0688040947244588,0.258043997069288
WBGene00044654,fbxa-85,Intestine,15.11,Am/PH_sheath_cells,0.60,9.46,0.0688698902571668,0.258195218310159
WBGene00018133,F37A4.3,Seam_cells,85.25,Rectum,18.06,4.47,0.0690269997892826,0.258736374395072
WBGene00013295,Y57G11B.2,Coelomocytes,22.61,Pharyngeal_epithelia,8.43,2.40,0.0691509758794713,0.259105255462618
WBGene00011320,T01C3.3,Germline,36.29,Pharyngeal_gland,7.00,4.54,0.0691755607089826,0.259149471656216
WBGene00004800,sir-2.1,Pharyngeal_neurons,214.44,Germline,177.68,1.20,0.0692033188024425,0.259205557177441
WBGene00000280,cah-2,GABAergic_neurons,794.70,Other_interneurons,527.19,1.50,0.0694730913895158,0.260023824881255
WBGene00016191,C28G1.6,Intestine,25.76,Coelomocytes,3.88,5.28,0.069537708765803,0.260217628648992
WBGene00008576,F08G2.4,Pharyngeal_epithelia,65.13,Other_interneurons,21.30,2.92,0.0697019012611501,0.260783912968766
WBGene00006522,abcx-1,Socket_cells,93.58,Canal_associated_neurons,22.49,3.98,0.0697947527667402,0.261070350274494
WBGene00017356,F10E9.4,Germline,104.72,Somatic_gonad_precursors,86.96,1.19,0.0698042177735563,0.261070350274494
WBGene00022351,Y82E9BR.19,Germline,204.55,Oxygen_sensory_neurons,97.19,2.08,0.0698214448656886,0.261086609273635
WBGene00019506,K07H8.5,Excretory_cells,16.70,Non-seam_hypodermis,0.67,9.98,0.0698778720799294,0.261249418098902
WBGene00011916,T22C1.5,Germline,61.17,Somatic_gonad_precursors,30.94,1.92,0.0700020129649457,0.261617036285475
WBGene00012191,W02A2.8,Germline,14.17,Coelomocytes,4.18,2.73,0.0700835398908191,0.261820922456676
WBGene00018680,tsen-54,Pharyngeal_neurons,27.02,Germline,17.07,1.50,0.0700953157798028,0.261820922456676
WBGene00001122,dyf-6,Ciliated_sensory_neurons,328.72,Oxygen_sensory_neurons,173.25,1.89,0.0702163404062881,0.262176355935875
WBGene00011453,ugt-56,Ciliated_sensory_neurons,111.24,Excretory_cells,30.95,3.48,0.0704164208424815,0.262778215555586
WBGene00013487,egas-2,Am/PH_sheath_cells,54.24,Socket_cells,7.89,6.10,0.0705107026641145,0.263081622253684
WBGene00007549,spin-1,Excretory_cells,90.43,Intestine,49.83,1.78,0.0706102753340669,0.263356189751034
WBGene00018115,F36H9.7,Touch_receptor_neurons,275.76,GABAergic_neurons,123.91,2.21,0.0706401001937243,0.263418960821741
WBGene00015927,dyci-1,flp-1(+)_interneurons,367.90,Oxygen_sensory_neurons,167.47,2.18,0.0706800910010657,0.263519610940335
WBGene00001019,dnj-1,Canal_associated_neurons,134.24,Germline,127.87,1.04,0.0706969490559271,0.263533993069639
WBGene00008940,F18H3.4,Touch_receptor_neurons,180.16,Sex_myoblasts,79.53,2.24,0.070774749709099,0.263757629952066
WBGene00015679,C10F3.7,Ciliated_sensory_neurons,23.57,Coelomocytes,3.92,4.79,0.0708159795359544,0.26383214871776
WBGene00007692,C23H4.3,Intestine,39.77,Pharyngeal_epithelia,3.62,8.61,0.0708802369453998,0.264023021521536
WBGene00016160,C27D6.1,Am/PH_sheath_cells,44.45,Socket_cells,4.07,8.77,0.0709826327372363,0.264355860410898
WBGene00006225,str-181,Ciliated_sensory_neurons,14.26,Intestine,0.59,9.00,0.0710774285153109,0.264660278000343
WBGene00010676,K08F4.1,Germline,362.40,Somatic_gonad_precursors,258.22,1.40,0.0711617666385405,0.264877005422302
WBGene00012980,efhd-1,Excretory_cells,198.75,Body_wall_muscle,135.18,1.46,0.0712072158480682,0.264997516514814
WBGene00020248,T05C1.1,Excretory_cells,750.53,Am/PH_sheath_cells,491.39,1.52,0.0713035129290311,0.265209818455851
WBGene00004485,rps-16,Sex_myoblasts,2931.41,Vulval_precursors,2289.50,1.28,0.0713814821665317,0.265402425714924
WBGene00008097,ugt-15,Intestine,7.10,Body_wall_muscle,0.24,5.71,0.071397039630443,0.265411588180581
WBGene00006894,ver-1,Am/PH_sheath_cells,26.86,Intestine,5.66,4.04,0.071514269140793,0.265677807510048
WBGene00003821,nst-1,Somatic_gonad_precursors,901.90,Germline,712.59,1.26,0.0715210791565454,0.265677807510048
WBGene00008309,nhr-170,Intestine,30.08,Coelomocytes,6.30,4.12,0.071567517278226,0.265752911292713
WBGene00019267,H39E20.1,Body_wall_muscle,1.23,Germline,0.00,1.23,0.0716348765585791,0.265954319179296
WBGene00015326,ivd-1,Pharyngeal_muscle,347.93,Distal_tip_cells,170.08,2.03,0.0717990027464947,0.266319777616504
WBGene00007664,seb-3,GABAergic_neurons,380.28,Other_interneurons,197.18,1.92,0.0717895613618758,0.266319777616504
WBGene00021417,nhr-236,Pharyngeal_neurons,78.65,Cholinergic_neurons,13.33,5.49,0.0718374712005698,0.266364986044769
WBGene00011940,T23B5.3,Excretory_cells,376.83,GABAergic_neurons,158.11,2.37,0.0718282780481066,0.266364986044769
WBGene00022055,Y67D2.5,Other_interneurons,39.60,Germline,22.62,1.68,0.0718863478405812,0.266400028715982
WBGene00006446,atx-3,Rectum,146.28,Germline,90.48,1.60,0.0718706445573697,0.266400028715982
WBGene00000298,cat-4,Non-seam_hypodermis,63.48,Intestine,56.92,1.10,0.0718741720791107,0.266400028715982
WBGene00011329,T01D3.5,Germline,152.19,Seam_cells,106.88,1.41,0.0719028038640357,0.266412308010943
WBGene00006994,zyg-9,Germline,358.36,Somatic_gonad_precursors,285.95,1.25,0.0719906669543353,0.266689109983796
WBGene00019481,cogc-6,Pharyngeal_gland,209.97,Germline,168.64,1.24,0.0720235849522595,0.26676230414165
WBGene00013354,snx-6,Coelomocytes,317.59,Intestine,283.33,1.12,0.072244617456797,0.26743437554177
WBGene00008985,F20G2.1,Pharyngeal_epithelia,142.96,Excretory_cells,46.47,3.01,0.0723174509574834,0.267655111988159
WBGene00007786,rmd-2,Body_wall_muscle,257.72,Intestinal/rectal_muscle,163.47,1.57,0.07235609488408,0.267749251441253
WBGene00007143,B0334.3,Intestine,436.42,Rectum,234.06,1.86,0.0724448701279132,0.26797992013922
WBGene00022110,Y71F9AL.4,Germline,35.42,Coelomocytes,12.56,2.61,0.0724787924782179,0.26805648646706
WBGene00022240,shl-1,Touch_receptor_neurons,405.90,Ciliated_sensory_neurons,224.73,1.80,0.0725991664617037,0.268452700354833
WBGene00006966,xtr-2,Ciliated_sensory_neurons,8.08,Body_wall_muscle,0.84,4.39,0.0726165192219175,0.268467893698247
WBGene00008522,F02D8.5,flp-1(+)_interneurons,400.31,Oxygen_sensory_neurons,199.87,1.99,0.072648937091422,0.268538768012439
WBGene00018585,F48A11.4,Vulval_precursors,87.89,Germline,70.37,1.23,0.0726945418426082,0.26865835144786
WBGene00000846,cup-5,Vulval_precursors,69.16,Germline,65.49,1.04,0.0728209367165349,0.269027375283557
WBGene00008349,CE7X_3.1,Germline,17.61,Cholinergic_neurons,1.15,8.20,0.0728853079667095,0.26921612204686
WBGene00020571,lpr-7,Rectum,219.11,Non-seam_hypodermis,94.27,2.30,0.0729466291804066,0.269344466323501
WBGene00009462,sre-22,Body_wall_muscle,1.25,Germline,0.25,1.00,0.0729399154736151,0.269344466323501
WBGene00016175,C27H5.6,Am/PH_sheath_cells,5.34,Body_wall_muscle,0.11,4.82,0.0729925040138975,0.269422548018191
WBGene00022327,fbxa-15,Intestine,28.11,Other_interneurons,4.90,4.77,0.0729943581330918,0.269422548018191
WBGene00004125,mdt-30,Germline,143.43,Somatic_gonad_precursors,118.74,1.20,0.0730241492941884,0.269434388486075
WBGene00000217,asp-4,Body_wall_muscle,796.55,Seam_cells,717.11,1.11,0.0730164712761089,0.269434388486075
WBGene00018988,F56F11.1,Ciliated_sensory_neurons,29.56,Vulval_precursors,2.37,8.76,0.0732389695109093,0.270128666476645
WBGene00006492,let-391,Germline,104.61,Somatic_gonad_precursors,53.21,1.93,0.073233951638754,0.270128666476645
WBGene00012896,snrp-200,Germline,557.87,Intestine,453.40,1.23,0.0732687080632719,0.270189190676839
WBGene00001478,fmo-3,Non-seam_hypodermis,74.91,Socket_cells,25.32,2.85,0.0733559904024165,0.270461855483337
WBGene00006395,taf-11.3,Cholinergic_neurons,35.65,Germline,25.99,1.32,0.0737188333065385,0.271750221850671
WBGene00003619,nhr-20,Pharyngeal_epithelia,166.61,Pharyngeal_muscle,74.81,2.20,0.0737453180031373,0.27179842568029
WBGene00011240,R11A8.7,Germline,780.01,Somatic_gonad_precursors,609.39,1.28,0.0738040910817918,0.271965593586439
WBGene00019928,clec-44,Intestine,1.69,Germline,0.06,1.59,0.0739614516382048,0.27239690882232
WBGene00020112,pfd-5,Touch_receptor_neurons,177.33,Somatic_gonad_precursors,110.59,1.59,0.0740523216530566,0.272682036735533
WBGene00010349,dyf-18,Oxygen_sensory_neurons,133.63,Ciliated_sensory_neurons,36.43,3.57,0.0742145666617493,0.273229836687309
WBGene00015480,C05D10.4,Distal_tip_cells,844.59,Socket_cells,505.71,1.67,0.0743518567281532,0.27368557975965
WBGene00019576,K09E3.5,Distal_tip_cells,18.20,Sex_myoblasts,2.01,6.05,0.0745375817569964,0.274237111609121
WBGene00005292,srh-71,Oxygen_sensory_neurons,13.44,Intestine,3.21,3.19,0.074546303557419,0.274237111609121
WBGene00022078,epg-9,Socket_cells,168.44,Intestine,158.75,1.05,0.0745456957227611,0.274237111609121
WBGene00017092,E02C12.6,Intestine,6.85,Seam_cells,0.71,4.01,0.0746270559303884,0.27431759669886
WBGene00010409,H21P03.2,Germline,100.79,Vulval_precursors,34.65,2.83,0.0746318161804655,0.27431759669886
WBGene00012966,exos-1,Canal_associated_neurons,56.06,Germline,38.30,1.43,0.0746270400554915,0.27431759669886
WBGene00017282,algn-2,Canal_associated_neurons,70.75,Germline,59.34,1.17,0.0745995968607316,0.27431759669886
WBGene00007167,rbg-3,Germline,134.47,Distal_tip_cells,55.91,2.36,0.0748489832552826,0.275016084750378
WBGene00008900,F16H6.10,Intestine,24.16,Cholinergic_neurons,2.82,6.33,0.0750024198518689,0.275479987827004
WBGene00000424,ced-10,Other_interneurons,228.25,Am/PH_sheath_cells,126.40,1.79,0.0750381232218948,0.275561194896926
WBGene00020678,T22B11.4,Pharyngeal_neurons,1563.49,Pharyngeal_gland,1069.64,1.46,0.075085644444245,0.275685763182266
WBGene00000121,aly-2,Germline,113.01,Somatic_gonad_precursors,76.66,1.46,0.0751593886650984,0.27590654973383
WBGene00016474,C36C5.5,Body_wall_muscle,32.30,Intestinal/rectal_muscle,4.24,6.16,0.0753563174794975,0.276529310576918
WBGene00044213,Y102A5C.36,Germline,28.78,Pharyngeal_muscle,5.10,4.72,0.0756642405984058,0.277558780523034
WBGene00000003,aat-2,Sex_myoblasts,163.60,Intestinal/rectal_muscle,80.02,2.02,0.0757242735833472,0.277728740692606
WBGene00021252,cht-4,Intestine,24.16,Other_interneurons,4.91,4.09,0.0757583147759747,0.277803328296632
WBGene00010131,F55H2.5,flp-1(+)_interneurons,327.37,Pharyngeal_neurons,139.97,2.32,0.0759108913134006,0.278312475640069
WBGene00007916,C34C6.3,Socket_cells,1218.16,Excretory_cells,820.77,1.48,0.0759812271178344,0.278519973762318
WBGene00008212,C49F5.8,Coelomocytes,14.55,Am/PH_sheath_cells,1.82,5.17,0.0760807829801545,0.27876567237492
WBGene00013425,ceh-91,Germline,141.27,Touch_receptor_neurons,53.44,2.59,0.0761032623414143,0.27876567237492
WBGene00006540,tbg-1,Germline,102.73,Sex_myoblasts,49.32,2.04,0.0760942345238126,0.27876567237492
WBGene00013249,Y57A10A.4,Germline,35.56,Somatic_gonad_precursors,3.82,7.38,0.0761213354436676,0.27878149788231
WBGene00013758,fbxa-114,Germline,48.91,Rectum,5.54,7.48,0.0764920408490286,0.279987388958226
WBGene00004223,ptr-9,Socket_cells,29.18,Ciliated_sensory_neurons,2.93,7.43,0.0765357693876731,0.280096873308814
WBGene00011761,T13H5.8,Germline,156.63,Somatic_gonad_precursors,135.19,1.15,0.0766117264083,0.280309567262163
WBGene00002220,gcc-1,Pharyngeal_epithelia,152.17,Socket_cells,63.35,2.36,0.0766462274381827,0.280349273980404
WBGene00018297,F41F3.3,Non-seam_hypodermis,21701.56,Rectum,16135.85,1.34,0.0766839388300236,0.280436609060691
WBGene00194905,Y53F4B.51,Cholinergic_neurons,80.16,Pharyngeal_muscle,21.70,3.53,0.0767172823085379,0.280507941860818
WBGene00015160,B0361.6,Germline,113.85,Vulval_precursors,58.44,1.92,0.0767843077366197,0.280702380906946
WBGene00001986,hot-1,GABAergic_neurons,408.01,Cholinergic_neurons,224.43,1.81,0.0768520413035954,0.280899338129315
WBGene00004706,rsr-1,Germline,246.45,Pharyngeal_neurons,139.35,1.76,0.0769743085308491,0.281269332089453
WBGene00014057,ZK673.1,Am/PH_sheath_cells,60.52,Ciliated_sensory_neurons,20.48,2.82,0.0769982403997394,0.281281551836929
WBGene00000962,dhc-1,Germline,2329.19,Somatic_gonad_precursors,1876.74,1.24,0.0770576786725939,0.281397262542272
WBGene00006676,twk-23,GABAergic_neurons,207.04,Distal_tip_cells,38.91,5.19,0.0770938235556255,0.281427858328126
WBGene00023404,plr-1,flp-1(+)_interneurons,177.98,Cholinergic_neurons,67.32,2.60,0.0771129737309682,0.281447081472895
WBGene00000419,ced-5,Germline,350.34,Somatic_gonad_precursors,257.68,1.35,0.0772698580713915,0.281968909624694
WBGene00013037,Y49E10.18,Intestine,32.41,Somatic_gonad_precursors,6.42,4.37,0.0773097298746673,0.282063631081602
WBGene00012104,sygl-1,Germline,18.68,Coelomocytes,3.72,3.96,0.077326333252605,0.282073439151261
WBGene00018659,F52C6.2,Germline,15.88,Vulval_precursors,1.51,6.34,0.07741474352537,0.282256531588779
WBGene00015569,C07D10.5,Pharyngeal_neurons,56.80,Somatic_gonad_precursors,45.29,1.23,0.0774182978458689,0.282256531588779
WBGene00021104,W09B6.4,Intestine,78.80,Germline,34.92,2.19,0.0775077222654773,0.282531745737006
WBGene00006803,unc-70,GABAergic_neurons,3142.04,Pharyngeal_neurons,2297.60,1.37,0.0775389289258598,0.282594683253525
WBGene00005275,srh-52,Pharyngeal_gland,15.39,Body_wall_muscle,0.45,10.62,0.0777406697300956,0.282929054480417
WBGene00001119,dyf-3,Ciliated_sensory_neurons,99.97,Oxygen_sensory_neurons,30.93,3.13,0.0777562903907259,0.282929054480417
WBGene00011830,cyp-29A2,Non-seam_hypodermis,145.73,Am/PH_sheath_cells,96.20,1.50,0.0778581084223555,0.283248692718874
WBGene00009217,spe-45,Socket_cells,40.95,Vulval_precursors,14.87,2.58,0.077919678801841,0.283372459048279
WBGene00011912,T22C1.1,Germline,150.64,Somatic_gonad_precursors,115.27,1.30,0.0779330698614552,0.283372459048279
WBGene00019983,sti-1,Vulval_precursors,74.72,Germline,68.56,1.07,0.0779340663605228,0.283372459048279
WBGene00014058,ZK673.2,Rectum,146.63,Body_wall_muscle,111.46,1.30,0.077984409834529,0.283504657775419
WBGene00015473,C05D9.4,Socket_cells,137.54,GABAergic_neurons,45.66,2.95,0.0780459054466402,0.283677344326492
WBGene00006798,unc-64,GABAergic_neurons,2443.86,Cholinergic_neurons,1910.49,1.28,0.0780615729592386,0.283683425144626
WBGene00044482,F29B9.12,Cholinergic_neurons,129.48,Canal_associated_neurons,38.39,3.29,0.0782011990602792,0.283987192072898
WBGene00005019,sqv-1,Socket_cells,217.12,Am/PH_sheath_cells,143.50,1.50,0.0781760744445441,0.283987192072898
WBGene00013959,ZK265.7,Oxygen_sensory_neurons,1373.56,Cholinergic_neurons,993.50,1.38,0.0781932497228,0.283987192072898
WBGene00005370,srh-154,Ciliated_sensory_neurons,37.27,Oxygen_sensory_neurons,5.61,5.63,0.0782484978761926,0.284108060262995
WBGene00006957,wsp-1,Pharyngeal_epithelia,1017.78,Pharyngeal_muscle,748.13,1.36,0.0782633877205809,0.284111234327345
WBGene00020098,R144.10,Germline,85.32,Rectum,8.43,9.05,0.0783486678014016,0.284321528030206
WBGene00018408,F44B9.5,Canal_associated_neurons,158.21,Vulval_precursors,78.65,1.99,0.0783493688311741,0.284321528030206
WBGene00020949,W02F12.4,Pharyngeal_epithelia,103.20,Germline,92.29,1.11,0.0785737628259258,0.285033777065917
