Table S12: Differential expression test results for the ASEL vs. ASER neuron. ,,,,,,,,,,,,
gene_id,symbol,q-value,ASEL TPM,ASER TPM,"moderated log2
(ASEL / ASER)",,,,,,,
WBGene00004441,rpl-27,0.901630516636791,1054.241,847.051,0.314,,,,,,,
WBGene00004739,scd-1,0.901630516636791,1755.666,1986.510,-0.177,,,,,,,
WBGene00006595,top-1,0.901630516636791,554.412,326.071,0.761,,,,,,,
WBGene00006725,ubl-1,0.901630516636791,1218.904,1471.479,-0.270,,,,,,,
WBGene00001459,flp-16,0.905578779158939,2245.683,1892.397,0.246,,,,,,,
WBGene00004487,rps-18,0.905578779158939,597.890,747.815,-0.320,,,,,,,
WBGene00004478,rps-9,0.916926684907547,1641.098,1443.879,0.184,,,,,,,
WBGene00006537,tbb-2,0.920759644524586,1275.133,1153.644,0.143,,,,,,,
WBGene00010556,rack-1,0.933087149084049,1702.029,1463.871,0.216,,,,,,,
WBGene00000491,che-12,0.949666305653144,883.082,1027.728,-0.217,,,,,,,
WBGene00000528,clh-1,0.949666305653144,916.703,1069.832,-0.221,,,,,,,
WBGene00001169,eef-1A.2,0.949666305653144,516.002,535.813,-0.052,,,,,,,
WBGene00004063,pmr-1,0.949666305653144,536.335,737.603,-0.457,,,,,,,
WBGene00004473,rps-4,0.949666305653144,1362.013,1396.290,-0.035,,,,,,,
WBGene00010260,ddx-17,0.949666305653144,1967.526,2180.154,-0.147,,,,,,,
WBGene00010744,K10D6.4,0.949666305653144,961.953,1030.904,-0.098,,,,,,,
WBGene00015478,C05D10.2,0.949666305653144,1004.676,1027.908,-0.032,,,,,,,
WBGene00017699,flcn-1,0.949666305653144,696.273,784.144,-0.169,,,,,,,
WBGene00001080,dpy-21,0.951802694188617,1339.928,1505.622,-0.167,,,,,,,
WBGene00012765,Y41E3.7,0.965016576033589,1034.962,880.863,0.231,,,,,,,
WBGene00006669,twk-14,0.967536122604616,1149.429,1004.027,0.194,,,,,,,
WBGene00009691,F44E5.4,0.968697852020526,2287.938,2305.571,-0.010,,,,,,,
WBGene00003153,mca-3,0.970479485578898,1966.047,2031.071,-0.046,,,,,,,
WBGene00001167,eef-2,0.974436404731209,1862.665,1754.519,0.085,,,,,,,
WBGene00001178,egl-9,0.974436404731209,565.851,547.253,0.046,,,,,,,
WBGene00004167,pqn-87,0.974436404731209,663.596,760.361,-0.194,,,,,,,
WBGene00004416,rpl-5,0.974436404731209,1316.087,1290.818,0.027,,,,,,,
WBGene00004951,spc-1,0.974436404731209,860.478,893.979,-0.053,,,,,,,
WBGene00006975,zfp-1,0.974436404731209,713.302,633.134,0.170,,,,,,,
WBGene00007016,mdt-15,0.974436404731209,806.078,783.484,0.039,,,,,,,
WBGene00011723,T12A7.2,0.974436404731209,696.905,660.337,0.076,,,,,,,
WBGene00019733,M02E1.1,0.974436404731209,646.388,716.843,-0.147,,,,,,,
WBGene00022010,catp-7,0.974436404731209,655.372,735.354,-0.164,,,,,,,
WBGene00011884,enol-1,0.975463086651379,474.199,483.217,-0.024,,,,,,,
WBGene00021043,pck-1,0.976050679104272,949.042,914.150,0.052,,,,,,,
WBGene00004408,rla-0,0.981362068043489,3157.668,3280.475,-0.055,,,,,,,
WBGene00004428,rpl-16,0.983475415474047,1455.965,1470.292,-0.013,,,,,,,
WBGene00009692,F44E5.5,0.988913699894004,1192.489,1222.836,-0.035,,,,,,,
WBGene00004412,rpl-1,0.994950264438935,1786.476,1735.956,0.041,,,,,,,
WBGene00012894,tbc-17,0.994950264438935,2232.065,2250.248,-0.011,,,,,,,
WBGene00004425,rpl-13,0.998524849023949,859.325,802.790,0.096,,,,,,,
WBGene00000288,cal-4,0.99891498913641,2007.752,1999.516,0.005,,,,,,,
WBGene00006801,unc-68,0.99891498913641,2454.531,2331.555,0.074,,,,,,,
