Table S9: Differential expression test results for anterior vs. posterior body wall muscle. ,,,,,
gene_id,symbol,q-value,anterior TPM,posterior TPM,"moderated log2
(anterior / posterior)"
WBGene00004482,rps-13,0.0199365503257062,1127.344,1399.115,-0.310
WBGene00006763,unc-26,0.0200069229330435,51.612,20.072,1.292
WBGene00004762,sel-5,0.0200625156564717,49.421,81.359,-0.690
WBGene00015800,C15H9.4,0.0200625156564717,13.944,4.603,1.315
WBGene00007053,chd-7,0.0201275925630619,359.151,514.470,-0.514
WBGene00001561,gei-4,0.0201648801765736,260.902,173.820,0.578
WBGene00021983,npr-5,0.0202778387277618,241.196,169.101,0.504
WBGene00001945,his-71,0.0203251346096878,38.981,15.595,1.232
WBGene00010888,dlc-2,0.0205880899970223,115.627,77.252,0.563
WBGene00009254,capg-1,0.02071210134159,66.946,39.039,0.742
WBGene00010667,K08E4.3,0.0207475634197122,72.419,17.875,1.940
WBGene00011883,mrpl-50,0.0207475634197122,59.192,40.511,0.512
WBGene00021430,Y38F2AR.12,0.0210341713978638,27.745,5.029,2.202
WBGene00019351,lron-7,0.0211740894567704,37.028,8.006,2.040
WBGene00000403,casy-1,0.0214607275794417,47.555,14.821,1.588
WBGene00008444,tbc-14,0.0215122980715536,41.655,13.638,1.509
WBGene00003915,pan-1,0.0215329665937211,224.654,167.557,0.414
WBGene00013479,Y69H2.1,0.0215329665937211,24.512,5.842,1.841
WBGene00001137,eat-6,0.0216948835330604,1270.179,959.131,0.404
WBGene00010616,K07A1.10,0.0217807207337461,80.744,46.788,0.757
WBGene00013632,Y105C5A.1,0.0218001559861364,20.041,16.194,0.221
WBGene00016317,C32D5.10,0.021977420749651,23.002,15.351,0.492
WBGene00003196,mel-11,0.0219897502885887,115.906,77.361,0.565
WBGene00003685,nhr-95,0.0219897502885887,35.972,14.274,1.236
WBGene00022727,prkl-1,0.0220459369973072,18.652,2.446,2.436
WBGene00013406,Y63D3A.7,0.022157625365997,32.671,15.062,1.024
WBGene00022805,nhr-256,0.0221757364443001,17.553,5.564,1.419
WBGene00004440,rpl-26,0.0225489830534178,850.056,1050.045,-0.303
WBGene00022380,Y94H6A.8,0.0225489830534178,127.786,70.775,0.832
WBGene00008770,F13G3.12,0.0228577020546137,2.290,23.626,-2.844
WBGene00008800,F14E5.2,0.0229956791408205,64.993,111.935,-0.762
WBGene00004444,rpl-30,0.0231536255700129,369.327,543.937,-0.555
WBGene00016029,elf-1,0.0232481051040301,19.139,7.501,1.171
WBGene00017582,F18G5.6,0.0235491456150165,39.599,16.015,1.219
WBGene00010279,letm-1,0.0236517426395956,148.338,98.473,0.577
WBGene00020869,T28A11.2,0.0236833589850684,464.470,373.108,0.312
WBGene00001748,gsp-2,0.0241114728725629,222.718,182.028,0.283
WBGene00012260,W04G3.7,0.0242347283605934,11.794,0.000,3.560
WBGene00019693,ostd-1,0.0244088988967728,34.530,80.003,-1.171
WBGene00000122,aly-3,0.0247779341886773,21.054,44.863,-1.025
WBGene00017829,F26F4.9,0.024901162474987,7.233,21.540,-1.388
WBGene00001016,dna-2,0.0252228592137715,47.829,27.076,0.769
WBGene00006941,wnk-1,0.0253440659364676,284.615,216.480,0.388
WBGene00006853,unc-130,0.0253909818781241,2.779,19.007,-2.330
WBGene00019007,ucr-11,0.0256399573911726,99.583,50.518,0.951
WBGene00010766,K11B4.1,0.0256467248369274,54.729,28.369,0.898
WBGene00009049,F22B8.7,0.0257732766656247,76.515,46.333,0.693
WBGene00007942,idh-2,0.0258540711119688,48.595,31.204,0.594
WBGene00006728,ubq-2,0.0260087761616782,907.422,1166.637,-0.361
WBGene00002242,kvs-1,0.0260392198154536,12.718,0.151,3.466
WBGene00001080,dpy-21,0.0260945381620912,290.831,213.831,0.437
WBGene00020812,acdh-7,0.0265241909080932,243.091,174.485,0.470
WBGene00018871,F55C12.4,0.026552815314945,0.514,13.109,-3.114
WBGene00018311,F41G4.8,0.0266381911097525,60.425,31.659,0.888
WBGene00006561,tcl-2,0.0267028429297359,2.270,24.402,-2.900
WBGene00015882,C17B7.8,0.0267028429297359,0.591,16.602,-3.384
WBGene00003916,par-1,0.0267485596808899,630.526,503.978,0.320
WBGene00018307,dyla-1,0.0267485596808899,19.930,0.456,3.775
WBGene00008144,gasr-8,0.0268305017167883,12.405,0.000,3.633
WBGene00016439,C35D10.1,0.0268305017167883,15.215,29.896,-0.883
WBGene00019263,H35B03.1,0.0268305017167883,10.494,0.000,3.391
WBGene00022864,ZK1236.5,0.0268305017167883,31.859,10.632,1.454
WBGene00013355,gck-3,0.0268557509134562,58.551,37.709,0.597
WBGene00013642,daf-38,0.0269358575259107,30.678,1.061,3.896
WBGene00014204,ccdc-47,0.0272197010789128,86.912,141.022,-0.682
WBGene00009973,F53C11.3,0.0273618112780845,41.025,17.008,1.188
WBGene00020796,mrpl-28,0.0273618112780845,47.602,37.998,0.288
WBGene00006536,tbb-1,0.0273659314366562,324.743,268.576,0.269
WBGene00011050,agl-1,0.0274975240587609,220.810,155.461,0.497
WBGene00001637,gly-12,0.0275349780447263,12.997,44.954,-1.683
WBGene00019998,R10H1.1,0.0275645820998125,44.780,26.475,0.705
WBGene00004421,rpl-10,0.0276552637522067,1950.230,2407.366,-0.303
WBGene00009587,mig-38,0.0276552637522067,224.251,177.508,0.329
WBGene00001439,fkh-7,0.0280091771475137,147.281,120.923,0.273
WBGene00001509,fzo-1,0.0280091771475137,111.683,81.464,0.438
WBGene00003732,nhx-4,0.0281037121872349,44.980,18.909,1.176
WBGene00020446,T12B3.3,0.0282354786481111,22.570,6.750,1.542
WBGene00004884,smg-6,0.0284485258877981,108.034,82.505,0.372
WBGene00003798,npp-12,0.0286652807148204,57.939,111.331,-0.918
WBGene00000046,acr-7,0.0288789748136922,0.643,15.451,-3.233
WBGene00016116,C25H3.7,0.0292277738462519,107.147,61.425,0.779
WBGene00021021,mrpl-30,0.0292277738462519,54.320,33.695,0.647
WBGene00020767,lgc-40,0.0295545542284714,1.419,31.224,-3.690
WBGene00007984,irx-1,0.0296637146751843,128.337,83.046,0.611
WBGene00018763,F53F10.1,0.0297732220179905,115.385,77.889,0.549
WBGene00235256,Y54G11A.19,0.0297788429133576,0.000,6.304,-2.656
WBGene00016611,bicd-1,0.0298941874025727,477.616,392.362,0.280
WBGene00000796,crn-3,0.029916646236509,32.793,72.133,-1.094
WBGene00017319,mrps-9,0.0299444391910647,37.782,22.561,0.681
WBGene00019511,K08A2.1,0.0299746889430245,67.720,130.374,-0.924
WBGene00004419,rpl-7A,0.0301642670509014,1556.719,1940.854,-0.317
WBGene00010967,nduo-5,0.0301642670509014,2206.679,1797.068,0.295
WBGene00003772,nlr-1,0.0303909696539195,13.619,51.243,-1.809
WBGene00002175,jac-1,0.0304832260265083,20.394,75.652,-1.822
WBGene00011408,T04A8.6,0.0306859205007697,23.499,63.077,-1.364
WBGene00004894,sms-3,0.030848889971317,80.550,150.457,-0.884
WBGene00010082,F55A11.11,0.0311392353306437,10.934,2.655,1.581
WBGene00019731,M02D8.5,0.0311392353306437,13.084,2.849,1.765
WBGene00011349,T01H3.3,0.0311890734459027,61.775,97.767,-0.639
WBGene00013181,Y53H1B.2,0.0313078068493227,460.563,372.219,0.303
WBGene00001493,frm-7,0.0317239788895451,26.374,6.973,1.726
WBGene00017163,dnpp-1,0.0322670194582856,19.165,31.057,-0.623
WBGene00015767,hex-2,0.0326214516986632,21.735,0.852,3.553
WBGene00013732,aakg-1,0.0326465394691917,210.724,176.539,0.247
WBGene00002083,inf-1,0.0327669228132968,273.258,388.745,-0.503
WBGene00021945,lem-4,0.0331301778961224,24.774,5.674,1.892
WBGene00017998,F33D4.6,0.0331932500934197,16.977,3.049,2.068
WBGene00011055,arrd-14,0.0332825962460911,12.400,2.754,1.724
WBGene00004468,rpn-12,0.0335391786194783,24.135,16.750,0.443
WBGene00007824,C30H6.7,0.0336664721225016,168.833,111.403,0.587
WBGene00001564,icl-1,0.0337356957541549,1526.770,1915.606,-0.326
WBGene00013340,tcc-1,0.0340952744614441,155.789,253.382,-0.692
WBGene00019361,K03E5.2,0.0343152657482905,4.205,27.836,-2.419
WBGene00001374,exp-2,0.0345475203743562,21.630,2.275,2.724
WBGene00003550,nas-32,0.0345475203743562,18.645,3.789,1.961
WBGene00001134,eat-3,0.0347559889659975,189.134,137.217,0.452
WBGene00022134,Y71G10AL.1,0.0348245749785906,69.888,50.052,0.453
WBGene00018959,F56D1.1,0.0352104414646557,13.295,11.201,0.124
WBGene00006729,ucp-4,0.0352590253840308,31.533,11.891,1.290
WBGene00004453,rpl-39,0.0352975665712921,319.818,479.485,-0.580
WBGene00009342,fasn-1,0.0353358966280853,10.693,1.571,2.057
WBGene00015916,C17G10.2,0.0354111716398033,7.937,29.711,-1.733
WBGene00015232,B0511.6,0.0354689120376318,64.250,143.534,-1.137
WBGene00002232,kpc-1,0.035726414061956,258.630,203.224,0.341
WBGene00004885,smg-7,0.035726414061956,66.869,36.940,0.818
WBGene00013497,hex-5,0.0357324215170896,10.849,1.697,2.008
WBGene00016725,C46H3.2,0.0357324215170896,10.835,0.744,2.635
WBGene00000062,acr-23,0.0358117354467051,31.414,13.211,1.144
WBGene00000962,dhc-1,0.0358117354467051,502.137,662.918,-0.398
WBGene00008419,wdr-23,0.0358210052708055,120.809,80.426,0.569
WBGene00006667,twk-12,0.036010942263942,43.784,124.527,-1.475
WBGene00001329,epn-1,0.0361984406558892,95.936,56.454,0.740
WBGene00013576,Y76A2B.4,0.0361984406558892,40.680,23.606,0.725
WBGene00007556,C14A4.3,0.0363431796031113,15.718,28.807,-0.785
WBGene00008681,scrm-4,0.0366586003546423,6.684,1.670,1.324
WBGene00011224,R10H10.6,0.0372474971550515,0.746,9.764,-2.483
WBGene00020618,T20D4.12,0.0372474971550515,1.130,23.762,-3.480
WBGene00022025,Y65B4A.1,0.0372474971550515,25.574,12.911,0.878
WBGene00011193,algn-13,0.0373976069888372,16.555,3.994,1.729
WBGene00000550,clu-1,0.0374189447715445,753.994,579.323,0.378
WBGene00004889,smp-1,0.0375027194050935,42.100,97.891,-1.183
WBGene00004092,ppt-1,0.0377336456906971,1.884,18.843,-2.708
WBGene00010385,H12D21.9,0.0377336456906971,31.883,87.252,-1.408
WBGene00004774,sem-5,0.0379319408709834,24.869,51.655,-0.998
WBGene00011527,cchl-1,0.0379892687535695,192.919,129.918,0.559
WBGene00012930,obr-1,0.0381118193504896,73.406,46.778,0.620
WBGene00004132,ifet-1,0.0381181565423707,96.931,68.903,0.472
WBGene00017939,F31A3.5,0.0386784791887535,5.281,33.620,-2.420
WBGene00021677,pgs-1,0.0386784791887535,27.277,11.230,1.157
WBGene00021549,Y44E3A.4,0.038968179244871,46.702,17.419,1.342
WBGene00015501,C06A5.3,0.0389959336555325,63.262,51.986,0.256
WBGene00017272,F08F8.7,0.0395791640818925,23.463,10.006,1.092
WBGene00009797,F46G10.2,0.0398271660772761,125.092,233.340,-0.888
WBGene00000294,cas-1,0.0399153141635431,568.064,437.463,0.374
WBGene00007531,C11H1.7,0.0402242599382752,9.451,3.007,1.238
WBGene00010472,cdr-7,0.0404650148201612,1.308,15.166,-2.716
WBGene00004456,rpl-43,0.0404802279621909,652.608,867.736,-0.409
WBGene00009051,nduf-6,0.0405342527987554,72.144,43.301,0.704
WBGene00018953,F56C9.10,0.0405342527987554,138.963,102.560,0.424
WBGene00077698,lurp-4,0.0405342527987554,33.625,8.490,1.825
WBGene00004105,szy-20,0.0405513276875255,116.220,67.318,0.767
WBGene00021080,W08A12.3,0.0405513276875255,8.436,32.771,-1.796
WBGene00003779,nob-1,0.0406601398834941,0.732,9.835,-2.505
WBGene00003812,nrf-5,0.0406869659395586,168.720,254.833,-0.586
WBGene00006677,twk-24,0.0407926766438597,170.201,112.564,0.584
WBGene00003821,nst-1,0.0411352454799066,96.506,165.312,-0.762
WBGene00005228,srh-2,0.0411352454799066,24.273,9.432,1.218
WBGene00019698,riok-1,0.0411352454799066,165.107,141.684,0.211
WBGene00008990,smgl-1,0.0412063086018536,87.691,143.277,-0.692
WBGene00003982,pes-9,0.0413488058707388,44.584,30.671,0.493
WBGene00009246,gfm-1,0.0413488058707388,246.585,224.310,0.130
WBGene00004413,rpl-2,0.0415165064902637,422.028,589.120,-0.478
WBGene00007357,C06A12.3,0.0415165064902637,35.453,12.232,1.422
WBGene00010703,K09A9.6,0.0415165064902637,1194.402,983.874,0.278
WBGene00012124,T28D6.4,0.041605914581388,26.197,69.931,-1.363
WBGene00012891,sorb-1,0.041605914581388,481.858,637.865,-0.402
WBGene00044401,Y55B1BR.6,0.041605914581388,1.323,20.940,-3.172
WBGene00000939,dcr-1,0.0418947257297221,52.250,97.275,-0.869
WBGene00004122,pqn-35,0.0420644344864707,3.557,1.556,0.476
WBGene00000036,ace-2,0.0420966612012497,83.289,46.552,0.809
WBGene00020612,arrd-22,0.0420966612012497,53.120,33.126,0.638
WBGene00001086,dpy-27,0.0423373759701049,176.645,136.973,0.356
WBGene00006888,vbh-1,0.0423373759701049,92.390,151.794,-0.701
WBGene00002123,inx-1,0.0423844198784139,251.698,335.300,-0.408
WBGene00004428,rpl-16,0.0423844198784139,2378.383,2943.222,-0.307
WBGene00011106,acl-5,0.0423844198784139,122.110,72.795,0.727
WBGene00006913,vha-4,0.0426190958175752,38.278,25.270,0.543
WBGene00010648,K08C7.6,0.0426190958175752,73.559,131.994,-0.824
WBGene00005000,spp-15,0.0427743324964817,52.327,33.394,0.605
WBGene00009717,dep-1,0.0430567721342706,61.718,24.901,1.253
WBGene00015811,C16A3.6,0.0431811640928565,44.306,102.053,-1.172
WBGene00016081,C25A6.1,0.0431811640928565,15.218,0.270,3.583
WBGene00012759,sup-1,0.0436700070536904,209.321,135.468,0.617
WBGene00013536,Y73F8A.32,0.0437402493092608,1.380,8.285,-1.799
WBGene00020314,T07E3.3,0.0440236263756056,19.571,5.902,1.504
WBGene00000368,ccb-1,0.0441971283070612,120.111,85.765,0.469
WBGene00003249,mig-18,0.0442941095268021,81.104,68.811,0.216
WBGene00009735,F45G2.9,0.0442941095268021,9.834,2.750,1.391
WBGene00009504,F37B12.1,0.0443950966668139,0.000,10.772,-3.429
WBGene00021897,ser-6,0.0444294811953454,33.367,53.758,-0.645
WBGene00000289,cam-1,0.0445544322349458,157.651,125.439,0.318
WBGene00019408,K05F1.6,0.0445646680509942,99.537,64.037,0.614
WBGene00022679,ZK180.5,0.0448029992942678,11.213,4.584,1.006
WBGene00007944,C34F6.10,0.0449565994198243,22.005,8.266,1.248
WBGene00007122,B0250.5,0.0452917792440957,43.875,30.766,0.466
WBGene00007084,AH10.3,0.045409247323543,85.886,50.892,0.727
WBGene00015709,cyp-33A1,0.0455185681407364,25.261,6.875,1.681
WBGene00016195,C28H8.4,0.0457680916375366,17.383,44.365,-1.271
WBGene00011967,pir-1,0.0457854260504752,10.735,4.440,0.981
WBGene00009505,F37B12.3,0.0459155286019692,9.381,18.759,-0.854
WBGene00017724,F22F7.7,0.0461712994294166,112.907,73.673,0.596
WBGene00017435,F13H8.2,0.0461890436572451,22.245,40.973,-0.818
WBGene00012365,W09G3.1,0.0463992124690312,10.002,35.674,-1.697
WBGene00011604,T08A11.1,0.046585299686069,113.038,162.768,-0.513
WBGene00000063,act-1,0.0467711569433977,5931.413,4937.038,0.264
WBGene00012386,agef-1,0.0468807974549972,68.273,131.481,-0.924
WBGene00007703,gbf-1,0.0470829383836176,114.411,205.127,-0.830
WBGene00015088,B0252.3,0.0472254973719722,26.661,59.553,-1.106
WBGene00013237,Y56A3A.19,0.0474447331892827,95.445,46.099,1.019
WBGene00017313,cpsf-2,0.0474447331892827,23.571,19.526,0.200
WBGene00003074,lars-2,0.047504884290681,145.376,109.187,0.400
WBGene00021235,Y19D10B.6,0.0475273232499804,0.947,11.825,-2.603
WBGene00021759,Y50D7A.11,0.0479891291143478,3.611,9.838,-1.093
WBGene00021776,Y51H7BR.4,0.0479891291143478,2.862,22.928,-2.570
WBGene00019328,clec-149,0.0482938476141647,45.890,91.765,-0.969
WBGene00018569,F47F2.1,0.0483033404434523,84.792,60.057,0.474
WBGene00011562,T07C4.10,0.0483881947156604,23.239,9.525,1.143
WBGene00043983,C39D10.11,0.0484016775711693,14.014,0.000,3.809
WBGene00019487,ephx-1,0.0484515929410689,9.464,40.471,-1.951
WBGene00021811,ral-1,0.0488034304674331,36.153,13.803,1.288
WBGene00004014,phb-1,0.0489354405140781,238.700,197.761,0.264
WBGene00000951,deg-3,0.0489623653195519,33.245,13.885,1.159
WBGene00011392,sbt-1,0.0490412595603914,24.539,8.171,1.420
WBGene00021796,Y52E8A.3,0.0490564380707337,18.918,1.134,3.148
WBGene00015646,mlt-10,0.0491015595865917,6.602,2.020,1.128
WBGene00004479,rps-10,0.0492755527114211,1388.800,1660.293,-0.257
WBGene00004430,rpl-18,0.0494319270145667,2320.927,2819.791,-0.280
WBGene00007014,mdt-10,0.0498762625622221,2.199,9.984,-1.642
WBGene00004040,pld-1,0.0498834537335022,174.670,125.167,0.469
WBGene00003914,pam-1,0.0501737696364382,149.085,122.308,0.274
WBGene00017777,F25B5.6,0.0501737696364382,86.791,55.491,0.620
WBGene00019732,M02D8.6,0.0501737696364382,31.829,12.719,1.214
WBGene00019842,R02F11.4,0.0502986652013996,84.127,39.433,1.057
WBGene00194832,Y73B6BL.270,0.0502986652013996,5.859,1.099,1.481
WBGene00003613,nhr-14,0.0506825762162279,20.396,2.982,2.357
WBGene00003947,pbs-1,0.0506825762162279,112.606,82.517,0.431
WBGene00000966,dhs-2,0.0507214814055085,14.087,0.270,3.471
WBGene00006754,unc-15,0.0507214814055085,13832.433,11720.980,0.239
WBGene00019643,K11C4.2,0.0507214814055085,11.803,0.776,2.733
WBGene00000238,bar-1,0.051235809386363,25.252,62.279,-1.246
WBGene00003709,nhr-119,0.0516424740796246,16.464,3.417,1.898
WBGene00014140,ZK899.1,0.0517829865410896,11.522,1.085,2.466
WBGene00017314,lgc-39,0.0518681153344027,69.731,41.996,0.698
WBGene00016652,got-2.1,0.0522423391685058,1.255,10.136,-2.168
WBGene00003948,pbs-2,0.0524984894567793,35.072,69.479,-0.946
WBGene00007951,dmsr-8,0.0525598434676481,24.421,8.417,1.375
WBGene00015887,C17C3.1,0.0527407800882233,30.556,12.269,1.203
WBGene00000113,alh-7,0.0528210781074534,38.387,21.136,0.794
WBGene00002048,ida-1,0.0528210781074534,5.208,2.965,0.393
WBGene00004416,rpl-5,0.0528210781074534,3299.253,3947.534,-0.258
WBGene00015176,vps-51,0.0528210781074534,13.166,24.577,-0.795
WBGene00016642,chil-10,0.0528210781074534,21.477,15.593,0.372
WBGene00017780,F25E2.2,0.0528210781074534,43.431,95.545,-1.105
WBGene00000425,ced-11,0.0528900648309816,1.709,26.416,-3.286
WBGene00013366,Y60A3A.21,0.0529321455794199,3.312,35.257,-3.031
WBGene00008857,timm-23,0.0530972580940182,100.959,98.379,0.023
WBGene00008645,F10C2.4,0.0531228356516555,17.983,25.744,-0.440
WBGene00019890,R05F9.6,0.0531228356516555,234.117,191.216,0.285
WBGene00012363,W09D10.5,0.0533194619772449,27.262,4.305,2.362
WBGene00015481,C05D11.1,0.0533194619772449,98.435,153.058,-0.622
WBGene00013808,sfa-1,0.054072688373656,55.291,89.615,-0.671
WBGene00044344,mrpl-39,0.054175201585908,32.480,15.018,1.020
WBGene00020770,eat-17,0.0542603164793047,23.997,9.993,1.126
WBGene00004684,rsd-6,0.0543114728353486,44.399,72.137,-0.668
WBGene00021613,Y47A7.1,0.0543610172953737,34.612,23.170,0.518
WBGene00002151,irk-3,0.0545110301411447,16.868,0.873,3.171
WBGene00013210,Y54G9A.7,0.0547992391106406,121.440,79.101,0.600
WBGene00020636,T20H4.5,0.0550025771419081,186.092,115.013,0.682
WBGene00021068,W06H8.6,0.0551852219762541,308.067,219.628,0.482
WBGene00004064,pms-2,0.0555110762654798,36.905,20.831,0.757
WBGene00011303,R166.3,0.0555110762654798,23.712,7.100,1.550
WBGene00011276,aakg-5,0.0556153135990928,28.358,53.658,-0.870
WBGene00002189,kin-1,0.0558988165091953,269.703,223.821,0.263
WBGene00001249,elt-1,0.0559045471931053,0.000,11.481,-3.521
WBGene00006068,sto-6,0.0559776001378404,17.609,0.945,3.178
WBGene00007562,C14A4.12,0.0559776001378404,40.801,27.964,0.494
WBGene00004047,plx-1,0.0560385997983087,50.045,119.418,-1.226
WBGene00012122,T28C6.8,0.0560385997983087,4.096,23.791,-2.223
WBGene00013700,Y106G6D.3,0.0560608755838471,11.876,0.000,3.570
WBGene00000510,cka-2,0.0560871911996764,7.523,34.823,-2.031
WBGene00014172,clpp-1,0.0567496128467041,44.416,14.188,1.548
WBGene00015704,tiam-1,0.056750502482185,0.000,11.256,-3.493
WBGene00018516,tag-257,0.0568791461298367,10.479,6.666,0.451
WBGene00009100,rgef-1,0.0574190083112365,4.444,0.772,1.326
WBGene00009932,F52D10.6,0.0586074507971222,60.848,28.757,1.032
WBGene00004415,rpl-4,0.0587261314409883,6542.984,7705.163,-0.236
WBGene00009770,F46B6.5,0.0592550531992084,43.467,77.519,-0.802
WBGene00000898,daf-2,0.059405648124391,106.550,158.241,-0.557
WBGene00002056,ifc-2,0.059405648124391,8.448,2.925,1.106
WBGene00003378,mml-1,0.0594706450398652,209.404,147.350,0.497
WBGene00003777,nmy-2,0.0594706450398652,124.852,89.855,0.459
WBGene00001649,gob-1,0.0595119995233561,82.038,73.879,0.132
WBGene00044200,H37A05.4,0.0595119995233561,22.402,8.578,1.226
WBGene00021876,Y54G2A.11,0.0597951538937236,84.670,44.845,0.885
WBGene00010878,M05D6.5,0.0598331296068067,177.645,133.995,0.396
WBGene00003007,lin-18,0.0600338540891755,86.611,47.934,0.824
WBGene00012598,Y38E10A.20,0.0600870207884137,15.864,6.916,1.003
WBGene00004024,php-3,0.0601990354853976,0.000,12.100,-3.597
WBGene00002244,laf-1,0.060229691100586,197.474,302.320,-0.607
WBGene00018657,acl-4,0.0604443993201951,44.638,80.398,-0.817
WBGene00004478,rps-9,0.0606092238062367,3215.529,3919.184,-0.285
WBGene00013701,Y106G6D.4,0.0609441121918942,8.895,1.056,2.113
WBGene00010908,zbp-1,0.0610587540084565,98.003,74.137,0.383
WBGene00001824,hbl-1,0.0614884478790924,32.244,79.871,-1.265
WBGene00007058,dmd-6,0.0617479871021499,185.096,138.320,0.410
WBGene00002023,hsp-25,0.0623086158029908,293.799,226.037,0.372
WBGene00004448,rpl-34,0.0623086158029908,506.007,679.309,-0.422
WBGene00001067,dpy-5,0.062967421650277,18.135,6.004,1.373
WBGene00000092,ags-3,0.0631338493617349,81.249,44.991,0.821
WBGene00000958,dgk-1,0.0631338493617349,58.653,38.639,0.565
WBGene00002256,lbp-4,0.0631338493617349,16.671,4.083,1.713
WBGene00000006,aat-5,0.063500145972378,297.704,218.805,0.438
WBGene00007606,C15C8.4,0.064156976408671,11.185,30.390,-1.318
WBGene00015633,C09D4.2,0.0645367824912972,11.607,45.892,-1.864
WBGene00016432,C35B1.2,0.0645367824912972,89.787,62.722,0.495
WBGene00004336,ret-1,0.0649164426358315,1408.396,1206.943,0.222
WBGene00011156,R09B3.3,0.0649955861223809,41.761,84.857,-0.989
WBGene00003695,nhr-105,0.0650331707619004,65.791,41.094,0.644
WBGene00004116,pqn-27,0.0650331707619004,70.888,57.881,0.268
WBGene00008781,rpoa-2,0.0650331707619004,35.041,65.508,-0.862
WBGene00010887,M7.12,0.0650331707619004,21.887,3.683,2.225
WBGene00015043,cyp-34A8,0.0650331707619004,9.068,0.228,2.885
WBGene00004321,rcan-1,0.065212212499333,74.720,44.971,0.701
WBGene00020412,T10E9.2,0.065212212499333,0.790,3.014,-0.752
WBGene00000677,col-103,0.065704892549999,22.356,4.046,2.148
WBGene00001987,hot-2,0.06580318379238,28.506,5.009,2.246
WBGene00022748,oaz-1,0.0659157724352791,113.155,83.301,0.425
WBGene00012421,Y9C2UA.1,0.0668814134812576,33.259,19.091,0.727
WBGene00009654,F43D9.3,0.0669818567729596,8.866,23.374,-1.244
WBGene00001036,dnj-18,0.0672391979715865,17.245,9.526,0.712
WBGene00004793,shw-3,0.0675525827691438,11.279,0.551,2.862
WBGene00008979,F20D1.9,0.0680477414650524,84.290,45.197,0.868
WBGene00006517,madd-3,0.0680919860676553,639.430,535.353,0.254
WBGene00008429,D2085.4,0.068155484942661,38.589,27.074,0.459
WBGene00010966,nduo-3,0.068155484942661,314.468,270.979,0.209
WBGene00010424,H36L18.2,0.0685627076933941,173.048,132.300,0.376
WBGene00013000,ddl-2,0.0686489618087226,17.897,5.820,1.392
WBGene00020930,hlh-30,0.0688335265536903,236.094,319.234,-0.429
WBGene00007417,ceh-58,0.0694245129793935,4.888,6.765,-0.200
WBGene00015295,acl-12,0.0694245129793935,62.827,37.548,0.705
WBGene00022568,ZC239.5,0.0694245129793935,8.974,5.103,0.556
WBGene00006752,unc-13,0.0694596415164559,310.310,439.237,-0.497
WBGene00019296,mcu-1,0.0696830218950676,55.684,27.231,0.980
WBGene00019629,cid-1,0.0699182887358712,21.050,41.018,-0.895
WBGene00006529,tba-2,0.070075261330903,372.474,297.170,0.321
WBGene00017898,F28C10.3,0.0702801298065493,7.447,22.363,-1.405
WBGene00016746,C48B6.10,0.0704650872726544,14.580,6.266,1.005
WBGene00001224,ehs-1,0.0704789032346398,8.562,20.340,-1.089
WBGene00000223,atf-7,0.0705505453322944,189.903,146.658,0.363
WBGene00001007,dli-1,0.0707666330951188,82.567,60.235,0.431
WBGene00011634,T09A5.5,0.0708196262652159,40.212,19.990,0.938
WBGene00001225,eif-3.B,0.071027753371359,62.652,113.098,-0.829
WBGene00020139,T01B11.2,0.071027753371359,27.501,82.150,-1.527
WBGene00020294,T06F4.1,0.071027753371359,152.281,110.560,0.449
WBGene00021026,W04C9.4,0.0713170144014659,22.689,18.842,0.193
WBGene00022785,ZK652.6,0.0715148907129473,36.210,25.745,0.437
WBGene00020263,let-355,0.0715675361948172,31.032,65.963,-1.042
WBGene00001038,dnj-20,0.0717480094492163,410.152,348.069,0.233
WBGene00004436,rpl-24.1,0.0720413334949219,1670.300,2052.122,-0.296
WBGene00019868,R04B3.3,0.0722220149571468,0.000,9.308,-3.219
WBGene00002251,lat-1,0.0722477731433434,21.152,4.085,2.056
WBGene00016653,C44E4.4,0.0723160474781512,84.065,155.367,-0.869
WBGene00004736,sca-1,0.0724739955699829,7911.229,6765.178,0.226
WBGene00000942,deb-1,0.0727674277231019,1083.754,888.885,0.284
WBGene00010638,K07F5.14,0.0727674277231019,25.703,59.135,-1.147
WBGene00010993,vha-20,0.0727674277231019,23.861,67.582,-1.443
WBGene00002889,let-765,0.0728182401707819,179.810,293.871,-0.701
WBGene00004130,ketn-1,0.0728182401707819,2495.811,2943.696,-0.238
WBGene00007017,mdt-17,0.0728182401707819,10.809,28.511,-1.272
WBGene00008238,C50F4.16,0.0728182401707819,17.973,7.542,1.073
WBGene00017997,mrpl-1,0.0728182401707819,119.666,104.244,0.185
WBGene00022501,ZC8.6,0.0728182401707819,43.894,21.070,0.992
WBGene00001320,ent-1,0.0728449208188257,27.558,64.791,-1.182
WBGene00003063,lpd-7,0.0729152784396473,91.815,187.850,-1.017
WBGene00008389,D1086.2,0.0731233099995899,19.714,1.930,2.750
WBGene00011924,T22C8.3,0.0732178582483319,7.288,3.755,0.616
WBGene00016404,mutd-1,0.0732178582483319,9.017,2.497,1.367
WBGene00022078,epg-9,0.0732178582483319,52.954,46.834,0.147
WBGene00044094,fitm-2,0.0740477933922011,18.309,39.366,-1.028
WBGene00018517,F46G11.4,0.0741244811327523,13.076,0.000,3.709
WBGene00007421,C07H4.1,0.0744048156165062,3.684,19.074,-2.026
